medication_id,medication_name,drug_class,dose_band,dominant_effect,pharmacological_target,receptor_or_mechanism,anxiety_score,sleep_score,mood_score,energy_score,cognition_score,sedation_risk,weight_gain_risk,extrapyramidal_risk,explanation_for_motor,current_source_status,source_required,source_reference,integration_status,drug_class_source,dose_band_source,dominant_effect_source,pharmacological_target_source,receptor_or_mechanism_source,anxiety_score_source,sleep_score_source,mood_score_source,energy_score_source,cognition_score_source,sedation_risk_source,weight_gain_risk_source,extrapyramidal_risk_source,source_legend
desipramina,Desipramina,Triciclico,"25–50 mg/dia: titulação.
100–200 mg/dia: faixa antidepressiva usual.
Até 300 mg/dia: apenas em situações selecionadas e com monitorização.
Predomina a inibição da recaptação de noradrenalina em toda a faixa. (DM/ST-E/GG/Maudsley)",SEM_MUDANCA_QUALITATIVA. (DM/ST-E/GG/Maudsley),"humor, dor, sono (TM/T2)",SEM_MUDANCA_QUALITATIVA. (DM/ST-E/GG/Maudsley),2,3,1,2,PENDENTE_PESQUISAR,cautela registrada: sedacao,nao cadastrado,nao cadastrado,"Dose - efeito cadastrado a partir da tabela enviada: 25–50 mg/dia: titulação.
100–200 mg/dia: faixa antidepressiva usual.
Até 300 mg/dia: apenas em situações selecionadas e com monitorização.
Predomina a inibição da recaptação de noradrenalina em toda a faixa.",official_label_located_pending_formal_review,"Dose: FDA/DAILYMED, Norpramin — desipramine. Mecanismo: STAHL-MEC; GG. Monitorização plasmática: MAUDSLEY. Fonte: FDA/Norpramin Prescribing Information; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.; Maudsley.","FDA/Norpramin Prescribing Information; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.; Maudsley.; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=a3b4b25d-0ddb-4531-badb-f1ba3168ac07",backlog_only,TM(Tabela 2),"FDA/Norpramin Prescribing Information; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.; Maudsley.","FDA/Norpramin Prescribing Information; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.; Maudsley.",TM(Tabela 2),"FDA/Norpramin Prescribing Information; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.; Maudsley.",TM(Tabela 2),TM(Tabela 2),TM(Tabela 2),TM(Tabela 2),PENDENTE_PESQUISAR,TM(Tabela 2),TM(Tabela 2),TM(Tabela 2),TM=Tabela Motor/local; DM=DailyMed/FDA; ST-E=Stahl Essential; ST-PG=Stahl Prescriber; GG=Goodman Gilman; APA=American Psychiatric Association; NICE=NICE; EMA=European Medicines Agency; ANVISA=Agencia regulatoria brasileira
desvenlafaxina,Desvenlafaxina,SNRI,"50 mg/dia: dose terapêutica usual; inibição da recaptação de serotonina e noradrenalina.
100–200 mg/dia: maior exposição, geralmente sem demonstração consistente de benefício proporcional; aumentam efeitos adversos.

Não deve ser apresentada como “serotoninérgica em baixa dose e noradrenérgica em alta dose” com a mesma segurança atribuída à venlafaxina. (DM/ST-E/GG)",MESMO_MECANISMO_MAIOR_EXPOSICAO. (DM/ST-E/GG),"energia, ansiedade, humor (TM/T1/T2)",MESMO_MECANISMO_MAIOR_EXPOSICAO. (DM/ST-E/GG),3,1,1,4,PENDENTE_PESQUISAR,nao cadastrado,nao cadastrado,nao cadastrado,"Dose - efeito cadastrado a partir da tabela enviada: 50 mg/dia: dose terapêutica usual; inibição da recaptação de serotonina e noradrenalina.
100–200 mg/dia: maior exposição, geralmente sem demonstração consistente de benefício proporcional; aumentam efeitos adversos.

Não deve ser apresentada como “serotoninérgica em baixa dose e noradrenérgica em alta dose” com a mesma segurança atribuída à venlafaxina.",official_label_located_pending_formal_review,"Dose: FDA/DAILYMED, Pristiq — desvenlafaxine. Mecanismo: STAHL-MEC; GG. Fonte: FDA/Pristiq Prescribing Information; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed. Não registrar automaticamente o mesmo escalonamento serotoninérgico–noradrenérgico da venlafaxina.","FDA/Pristiq Prescribing Information; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=0f43610c-f290-46ea-d186-4f998ed99fce",backlog_only,TM(Tabela 1|Tabela 2),"FDA/Pristiq Prescribing Information; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.","FDA/Pristiq Prescribing Information; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.",TM(Tabela 1|Tabela 2),"FDA/Pristiq Prescribing Information; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.",TM(Tabela 1|Tabela 2),TM(Tabela 1|Tabela 2),TM(Tabela 1|Tabela 2),TM(Tabela 1|Tabela 2),PENDENTE_PESQUISAR,TM(Tabela 1|Tabela 2),TM(Tabela 1|Tabela 2),TM(Tabela 1|Tabela 2),TM=Tabela Motor/local; DM=DailyMed/FDA; ST-E=Stahl Essential; ST-PG=Stahl Prescriber; GG=Goodman Gilman; APA=American Psychiatric Association; NICE=NICE; EMA=European Medicines Agency; ANVISA=Agencia regulatoria brasileira
divalproato,Divalproato,Anticonvulsivante/estabilizador,"Mania: iniciar 750 mg/dia e titular por resposta ou nivel serico; alvo serico em mania 50-125 mcg/mL. Epilepsia: 10-60 mg/kg/dia, alvo serico usual 50-100 mcg/mL. Enxaqueca: 500-1000 mg/dia. (DM)","Estabilizacao antimanica/anticonvulsivante guiada por resposta, peso, tolerabilidade e nivel serico. (DM/CANMAT-ISBD/GG)","mania/hipomania, estabilizacao do humor, impulsividade e epilepsia conforme contexto (DM/CANMAT-ISBD/GG)",Valproato/divalproato; acao anticonvulsivante e estabilizadora multimodal; monitorar seguranca hepatica e nivel serico. (DM/GG),1,1,3,1,PENDENTE_PESQUISAR,cautela registrada: sedacao,nao cadastrado,nao cadastrado,"Dose - efeito cadastrado a partir da tabela enviada: O uso psiquiátrico deve ser orientado por peso, resposta clínica e valproatemia, não por três faixas receptorais.
Em mania, são comuns esquemas titulados para aproximadamente 750–2.000 mg/dia, mas a dose individual varia amplamente.",source_reference_mapped_pending_formal_review,"Dose, carga e valproatemia: FDA/DAILYMED, Depakote — divalproex sodium; Anvisa. Transtorno bipolar: CANMAT/ISBD; MAUDSLEY. Mecanismo: GG; STAHL-MEC. Fonte: FDA/Depakote Prescribing Information; CANMAT/ISBD Bipolar Guidelines; Maudsley; Goodman & Gilman, 14ª ed.",DM; CANMAT-ISBD; GG,backlog_only,TM(Tabela 8),DM,DM; CANMAT-ISBD; GG,DM; CANMAT-ISBD; GG,DM; GG,TM(Tabela 8),TM(Tabela 8),TM(Tabela 8),TM(Tabela 8),PENDENTE_PESQUISAR,TM(Tabela 8),TM(Tabela 8),TM(Tabela 8),TM=Tabela Motor/local; DM=DailyMed/FDA; ST-E=Stahl Essential; ST-PG=Stahl Prescriber; GG=Goodman Gilman; APA=American Psychiatric Association; NICE=NICE; EMA=European Medicines Agency; ANVISA=Agencia regulatoria brasileira; HC=Health Canada product monograph
dosulepina,Dosulepina,Triciclico,"25–75 mg/dia: titulação e efeitos sedativos/anticolinérgicos.
75–150 mg/dia: faixa antidepressiva histórica.
Até 225 mg/dia: somente em contextos específicos, conforme referência local.

Deve receber alerta forte no motor por toxicidade cardiovascular e elevada toxicidade em overdose; não é opção de rotina em muitos países. (GG/NICE)",SEM_MUDANCA_QUALITATIVA. (GG/NICE),"humor, dor, sono (TM/T1)",SEM_MUDANCA_QUALITATIVA. (GG/NICE),2,3,1,2,PENDENTE_PESQUISAR,cautela registrada: sedacao,nao cadastrado,nao cadastrado,"Dose - efeito cadastrado a partir da tabela enviada: 25–75 mg/dia: titulação e efeitos sedativos/anticolinérgicos.
75–150 mg/dia: faixa antidepressiva histórica.
Até 225 mg/dia: somente em contextos específicos, conforme referência local.

Deve receber alerta forte no motor por toxicidade cardiovascular e elevada toxicidade em overdose; não é opção de rotina em muitos países.",source_reference_mapped_pending_formal_review,"Dose e segurança: UK SmPC/eMC, Dosulepin Hydrochloride; BNF. Restrição devido à toxicidade: NICE/BNF. Mecanismo: STAHL-MEC; GG. Fonte: UK SmPC, Dosulepin Hydrochloride; British National Formulary; NICE Depression Guideline; Goodman & Gilman, 14ª ed. Como não é medicamento de referência nos Estados Unidos, não usar FDA como fonte principal.","UK SmPC, Dosulepin Hydrochloride; British National Formulary; NICE Depression Guideline; Goodman & Gilman, 14ª ed.; DM:PENDENTE_PESQUISAR",backlog_only,TM(Tabela 1),"UK SmPC, Dosulepin Hydrochloride; British National Formulary; NICE Depression Guideline; Goodman & Gilman, 14ª ed.","UK SmPC, Dosulepin Hydrochloride; British National Formulary; NICE Depression Guideline; Goodman & Gilman, 14ª ed.",TM(Tabela 1),"UK SmPC, Dosulepin Hydrochloride; British National Formulary; NICE Depression Guideline; Goodman & Gilman, 14ª ed.",TM(Tabela 1),TM(Tabela 1),TM(Tabela 1),TM(Tabela 1),PENDENTE_PESQUISAR,TM(Tabela 1),TM(Tabela 1),TM(Tabela 1),TM=Tabela Motor/local; DM=DailyMed/FDA; ST-E=Stahl Essential; ST-PG=Stahl Prescriber; GG=Goodman Gilman; APA=American Psychiatric Association; NICE=NICE; EMA=European Medicines Agency; ANVISA=Agencia regulatoria brasileira
doxepina,Doxepina,Triciclico,"Aqui existe uma mudança clínica realmente importante:

3–6 mg à noite: bloqueio H1 relativamente seletivo → tratamento da insônia; não corresponde a dose antidepressiva.
10–25 mg/dia: sedação e efeitos anticolinérgicos mais evidentes; ainda geralmente abaixo da faixa antidepressiva clássica.
75–150 mg/dia: efeito antidepressivo tricíclico.
Até 300 mg/dia: maior exposição, com aumento importante da toxicidade. (DM/ST-E/GG)",MUDANCA_CLINICA_RELEVANTE_COM_A_DOSE. (DM/ST-E/GG),"humor, dor, sono (TM/T1/T2)",MUDANCA_CLINICA_RELEVANTE_COM_A_DOSE. (DM/ST-E/GG),2,3,1,2,PENDENTE_PESQUISAR,cautela registrada: sedacao,nao cadastrado,nao cadastrado,"Dose - efeito cadastrado a partir da tabela enviada: Aqui existe uma mudança clínica realmente importante:

3–6 mg à noite: bloqueio H1 relativamente seletivo → tratamento da insônia; não corresponde a dose antidepressiva.
10–25 mg/dia: sedação e efeitos anticolinérgicos mais evidentes; ainda geralmente abaixo da faixa antidepressiva clássica.
75–150 mg/dia: efeito antidepressivo tricíclico.
Até 300 mg/dia: maior exposição, com aumento importante da toxicidade.",official_label_located_pending_formal_review,"Dose antidepressiva: FDA/DAILYMED, Doxepin Hydrochloride Capsules. Dose para insônia de 3–6 mg: FDA, Silenor — doxepin tablets. Mecanismo: STAHL-MEC; GG. Fonte: FDA/Silenor Prescribing Information; DailyMed, Doxepin Hydrochloride Capsules; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed. Essa é uma das divisões por dose mais defensáveis: 3–6 mg está vinculada à indicação de insônia, enquanto doses muito maiores são utilizadas como antidepressivo tricíclico.","FDA/Silenor Prescribing Information; DailyMed, Doxepin Hydrochloride Capsules; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=c42333f8-1add-4f33-9458-6fe4436874a1",backlog_only,TM(Tabela 1|Tabela 2),"FDA/Silenor Prescribing Information; DailyMed, Doxepin Hydrochloride Capsules; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.","FDA/Silenor Prescribing Information; DailyMed, Doxepin Hydrochloride Capsules; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.",TM(Tabela 1|Tabela 2),"FDA/Silenor Prescribing Information; DailyMed, Doxepin Hydrochloride Capsules; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.",TM(Tabela 1|Tabela 2),TM(Tabela 1|Tabela 2),TM(Tabela 1|Tabela 2),TM(Tabela 1|Tabela 2),PENDENTE_PESQUISAR,TM(Tabela 1|Tabela 2),TM(Tabela 1|Tabela 2),TM(Tabela 1|Tabela 2),TM=Tabela Motor/local; DM=DailyMed/FDA; ST-E=Stahl Essential; ST-PG=Stahl Prescriber; GG=Goodman Gilman; APA=American Psychiatric Association; NICE=NICE; EMA=European Medicines Agency; ANVISA=Agencia regulatoria brasileira
duloxetina,Duloxetina,SNRI,"30 mg/dia: titulação inicial e melhora da tolerabilidade.
60 mg/dia: principal dose terapêutica em várias indicações.
Até 120 mg/dia: limite descrito, sem benefício adicional uniforme. (DM/ST-PG/ST-E/GG)","Antidepressivo, ansiolítico e modulador de dor, com ação serotoninérgica
e noradrenérgica. (DM/ST-PG/ST-E/GG)","dor, ansiedade, humor, energia (TM/T1/T2)",Inibição dos transportadores de serotonina e noradrenalina — SERT e NET. (DM/ST-PG/ST-E/GG),4,1,1,4,2,1,2,0,"Pode causar tanto sonolência quanto insônia.
Risco metabólico baixo a moderado e ausência de risco extrapiramidal
característico.",official_label_located_pending_formal_review,FDA_CYMBALTA; STAHL_ESSENTIAL; STAHL_PG; GOODMAN_GILMAN,FDA_CYMBALTA; STAHL_ESSENTIAL; STAHL_PG; GOODMAN_GILMAN; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=569582d5-cb6d-735e-e063-6394a90abfb6,backlog_only,TM(Tabela 1|Tabela 2),FDA_CYMBALTA; STAHL_ESSENTIAL; STAHL_PG; GOODMAN_GILMAN,FDA_CYMBALTA; STAHL_ESSENTIAL; STAHL_PG; GOODMAN_GILMAN,TM(Tabela 1|Tabela 2),FDA_CYMBALTA; STAHL_ESSENTIAL; STAHL_PG; GOODMAN_GILMAN,TM(Tabela 1|Tabela 2),TM(Tabela 1|Tabela 2),TM(Tabela 1|Tabela 2),TM(Tabela 1|Tabela 2),FDA_CYMBALTA; STAHL_ESSENTIAL; STAHL_PG; GOODMAN_GILMAN,FDA_CYMBALTA; STAHL_ESSENTIAL; STAHL_PG; GOODMAN_GILMAN,FDA_CYMBALTA; STAHL_ESSENTIAL; STAHL_PG; GOODMAN_GILMAN,FDA_CYMBALTA; STAHL_ESSENTIAL; STAHL_PG; GOODMAN_GILMAN,TM=Tabela Motor/local; DM=DailyMed/FDA; ST-E=Stahl Essential; ST-PG=Stahl Prescriber; GG=Goodman Gilman; APA=American Psychiatric Association; NICE=NICE; EMA=European Medicines Agency; ANVISA=Agencia regulatoria brasileira
escitalopram,Escitalopram,SSRI,"5 mg/dia: titulação ou maior sensibilidade.
10 mg/dia: dose terapêutica usual.
20 mg/dia: dose máxima adulta usual. (DM/ST-PG/ST-E/GG)","Antidepressivo e ansiolítico serotoninérgico, com perfil geralmente
neutro a discretamente sedativo. (DM/ST-PG/ST-E/GG)","ansiedade, humor (TM/T1/T2)",Inibição seletiva de SERT; enantiômero S ativo do citalopram. (DM/ST-PG/ST-E/GG),4,1,1,2,2,1,2,0,"Baixo risco extrapiramidal. Pode provocar sonolência ou insônia.
Apresenta risco de ganho de peso superior ao da bupropiona e,
em estudos observacionais, discretamente superior ao da sertralina.",official_label_located_pending_formal_review,FDA_LEXAPRO; STAHL_ESSENTIAL; STAHL_PG; GOODMAN_GILMAN,FDA_LEXAPRO; STAHL_ESSENTIAL; STAHL_PG; GOODMAN_GILMAN; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=1b2ec266-be5b-9265-e063-6294a90a10e3,backlog_only,TM(Tabela 1|Tabela 2),FDA_LEXAPRO; STAHL_ESSENTIAL; STAHL_PG; GOODMAN_GILMAN,FDA_LEXAPRO; STAHL_ESSENTIAL; STAHL_PG; GOODMAN_GILMAN,TM(Tabela 1|Tabela 2),FDA_LEXAPRO; STAHL_ESSENTIAL; STAHL_PG; GOODMAN_GILMAN,TM(Tabela 1|Tabela 2),TM(Tabela 1|Tabela 2),TM(Tabela 1|Tabela 2),TM(Tabela 1|Tabela 2),FDA_LEXAPRO; STAHL_ESSENTIAL; STAHL_PG; GOODMAN_GILMAN,FDA_LEXAPRO; STAHL_ESSENTIAL; STAHL_PG; GOODMAN_GILMAN,FDA_LEXAPRO; STAHL_ESSENTIAL; STAHL_PG; GOODMAN_GILMAN,FDA_LEXAPRO; STAHL_ESSENTIAL; STAHL_PG; GOODMAN_GILMAN,TM=Tabela Motor/local; DM=DailyMed/FDA; ST-E=Stahl Essential; ST-PG=Stahl Prescriber; GG=Goodman Gilman; APA=American Psychiatric Association; NICE=NICE; EMA=European Medicines Agency; ANVISA=Agencia regulatoria brasileira
fenitoina,Fenitoina,Anticonvulsivante/estabilizador,"A dose não deve ser dividida por mecanismo.
Possui farmacocinética não linear: pequenos aumentos podem produzir elevação desproporcional da concentração.
O manejo deve ser guiado por indicação neurológica, níveis séricos, albumina, interações e sinais de toxicidade.

A fenitoína é potente indutora de enzimas hepáticas e apresenta numerosas interações. (DM/GG/Maudsley)",NIVEL_SERICO_OBRIGATORIO_QUANDO_INDICADO. (DM/GG/Maudsley),"estabilidade, impulsividade (TM/T7/T8)",NIVEL_SERICO_OBRIGATORIO_QUANDO_INDICADO. (DM/GG/Maudsley),1,1,3,1,PENDENTE_PESQUISAR,cautela registrada: sedacao,nao cadastrado,nao cadastrado,"Dose - efeito cadastrado a partir da tabela enviada: A dose não deve ser dividida por mecanismo.
Possui farmacocinética não linear: pequenos aumentos podem produzir elevação desproporcional da concentração.
O manejo deve ser guiado por indicação neurológica, níveis séricos, albumina, interações e sinais de toxicidade.

A fenitoína é potente indutora de enzimas hepáticas e apresenta numerosas interações.",official_label_located_pending_formal_review,"Dose, níveis e farmacocinética não linear: FDA/DAILYMED, Dilantin — phenytoin; Anvisa. Mecanismo e interações: GG. Fonte: FDA/Dilantin Prescribing Information; Goodman & Gilman, 14ª ed.; Maudsley Prescribing Guidelines. Não dividir por mecanismo conforme a dose; cadastrar como medicamento guiado por nível sérico, albumina, interações e toxicidade.","FDA/Dilantin Prescribing Information; Goodman & Gilman, 14ª ed.; Maudsley Prescribing Guidelines.; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=7e467c02-49a0-4b62-b537-430fdfa4f10e",backlog_only,TM(Tabela 7|Tabela 8),"FDA/Dilantin Prescribing Information; Goodman & Gilman, 14ª ed.; Maudsley Prescribing Guidelines.","FDA/Dilantin Prescribing Information; Goodman & Gilman, 14ª ed.; Maudsley Prescribing Guidelines.",TM(Tabela 7|Tabela 8),"FDA/Dilantin Prescribing Information; Goodman & Gilman, 14ª ed.; Maudsley Prescribing Guidelines.",TM(Tabela 7|Tabela 8),TM(Tabela 7|Tabela 8),TM(Tabela 7|Tabela 8),TM(Tabela 7|Tabela 8),PENDENTE_PESQUISAR,TM(Tabela 7|Tabela 8),TM(Tabela 7|Tabela 8),TM(Tabela 7|Tabela 8),TM=Tabela Motor/local; DM=DailyMed/FDA; ST-E=Stahl Essential; ST-PG=Stahl Prescriber; GG=Goodman Gilman; APA=American Psychiatric Association; NICE=NICE; EMA=European Medicines Agency; ANVISA=Agencia regulatoria brasileira
fenobarbital,Fenobarbital,Anticonvulsivante/estabilizador,"Doses menores: sedação e efeito hipnótico tornam-se proeminentes.
Faixa anticonvulsivante: deve ser definida por peso, resposta e, quando necessário, concentração sérica.
Doses maiores aumentam depressão do sistema nervoso central, sem criar um novo mecanismo terapêutico.

Para um motor psiquiátrico, provavelmente deveria ficar fora do ranking antidepressivo/antipsicótico comum. (DM/GG/Maudsley)",GUIADO_POR_NIVEL_E_TOXICIDADE. (DM/GG/Maudsley),"estabilidade, impulsividade (TM/T7/T8)",GUIADO_POR_NIVEL_E_TOXICIDADE. (DM/GG/Maudsley),1,1,3,1,PENDENTE_PESQUISAR,cautela registrada: sedacao,nao cadastrado,nao cadastrado,"Dose - efeito cadastrado a partir da tabela enviada: Doses menores: sedação e efeito hipnótico tornam-se proeminentes.
Faixa anticonvulsivante: deve ser definida por peso, resposta e, quando necessário, concentração sérica.
Doses maiores aumentam depressão do sistema nervoso central, sem criar um novo mecanismo terapêutico.

Para um motor psiquiátrico, provavelmente deveria ficar fora do ranking antidepressivo/antipsicótico comum.",official_label_located_pending_formal_review,"Dose e níveis séricos: FDA/DAILYMED, Phenobarbital Tablets/Elixir; Anvisa. Mecanismo: GG. Interações: MAUDSLEY. Fonte: DailyMed, Phenobarbital; Goodman & Gilman, 14ª ed.; Maudsley.","DailyMed, Phenobarbital; Goodman & Gilman, 14ª ed.; Maudsley.; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=fa09b4f2-edb0-4594-a2d2-b16f7b9686b4",backlog_only,TM(Tabela 7|Tabela 8),"DailyMed, Phenobarbital; Goodman & Gilman, 14ª ed.; Maudsley.","DailyMed, Phenobarbital; Goodman & Gilman, 14ª ed.; Maudsley.",TM(Tabela 7|Tabela 8),"DailyMed, Phenobarbital; Goodman & Gilman, 14ª ed.; Maudsley.",TM(Tabela 7|Tabela 8),TM(Tabela 7|Tabela 8),TM(Tabela 7|Tabela 8),TM(Tabela 7|Tabela 8),PENDENTE_PESQUISAR,TM(Tabela 7|Tabela 8),TM(Tabela 7|Tabela 8),TM(Tabela 7|Tabela 8),TM=Tabela Motor/local; DM=DailyMed/FDA; ST-E=Stahl Essential; ST-PG=Stahl Prescriber; GG=Goodman Gilman; APA=American Psychiatric Association; NICE=NICE; EMA=European Medicines Agency; ANVISA=Agencia regulatoria brasileira
fluoxetina,Fluoxetina,SSRI,"10 mg/dia: início em pacientes sensíveis ou determinadas indicações.
20–60 mg/dia: faixa terapêutica comum.
Até 80 mg/dia: limite regulatório em indicações selecionadas. (DM/ST-PG/ST-E/GG)","Antidepressivo predominantemente serotoninérgico, frequentemente
com perfil mais ativador do que sedativo. (DM/ST-PG/ST-E/GG)","humor, energia (TM/T1/T2)","Inibição seletiva de SERT.
Fluoxetina e norfluoxetina apresentam meia-vida prolongada. (DM/ST-PG/ST-E/GG)",3,0,1,3,2,0,0,0,"Baixa sedação e baixo risco de ganho de peso no início.
Pode causar ativação, ansiedade ou insônia.",official_label_located_pending_formal_review,FDA_PROZAC; STAHL_ESSENTIAL; STAHL_PG; GOODMAN_GILMAN,FDA_PROZAC; STAHL_ESSENTIAL; STAHL_PG; GOODMAN_GILMAN; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=77b6ae48-8e3a-42e6-9b5a-aeed750861e8,backlog_only,TM(Tabela 1|Tabela 2),FDA_PROZAC; STAHL_ESSENTIAL; STAHL_PG; GOODMAN_GILMAN,FDA_PROZAC; STAHL_ESSENTIAL; STAHL_PG; GOODMAN_GILMAN,TM(Tabela 1|Tabela 2),FDA_PROZAC; STAHL_ESSENTIAL; STAHL_PG; GOODMAN_GILMAN,TM(Tabela 1|Tabela 2),TM(Tabela 1|Tabela 2),TM(Tabela 1|Tabela 2),TM(Tabela 1|Tabela 2),FDA_PROZAC; STAHL_ESSENTIAL; STAHL_PG; GOODMAN_GILMAN,FDA_PROZAC; STAHL_ESSENTIAL; STAHL_PG; GOODMAN_GILMAN,FDA_PROZAC; STAHL_ESSENTIAL; STAHL_PG; GOODMAN_GILMAN,FDA_PROZAC; STAHL_ESSENTIAL; STAHL_PG; GOODMAN_GILMAN,TM=Tabela Motor/local; DM=DailyMed/FDA; ST-E=Stahl Essential; ST-PG=Stahl Prescriber; GG=Goodman Gilman; APA=American Psychiatric Association; NICE=NICE; EMA=European Medicines Agency; ANVISA=Agencia regulatoria brasileira
fluvoxamina,Fluvoxamina,SSRI/serotonergico,"25–50 mg/dia: início.
100–200 mg/dia: faixa terapêutica comum.
Até 300 mg/dia: utilizada especialmente em transtorno obsessivo-compulsivo, dividindo doses quando necessário. (DM/ST-E/GG/APA/NICE)",SEM_MUDANCA_QUALITATIVA. (DM/ST-E/GG/APA/NICE),"ansiedade, humor (TM/T1/T2)",SEM_MUDANCA_QUALITATIVA. (DM/ST-E/GG/APA/NICE),3,1,1,2,PENDENTE_PESQUISAR,nao cadastrado,nao cadastrado,nao cadastrado,"Dose - efeito cadastrado a partir da tabela enviada: 25–50 mg/dia: início.
100–200 mg/dia: faixa terapêutica comum.
Até 300 mg/dia: utilizada especialmente em transtorno obsessivo-compulsivo, dividindo doses quando necessário.",official_label_located_pending_formal_review,"Dose: FDA/DAILYMED, Fluvoxamine Maleate Tablets; Anvisa. TOC: bula e diretrizes APA/NICE. Mecanismo e interações CYP: STAHL-MEC; GG; MAUDSLEY. Fonte: DailyMed, Fluvoxamine Maleate; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.; APA/NICE OCD Guidelines.","DailyMed, Fluvoxamine Maleate; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.; APA/NICE OCD Guidelines.; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=0b107225-ed5a-4461-9184-f3f2bad1892f",backlog_only,TM(Tabela 1|Tabela 2),"DailyMed, Fluvoxamine Maleate; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.; APA/NICE OCD Guidelines.","DailyMed, Fluvoxamine Maleate; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.; APA/NICE OCD Guidelines.",TM(Tabela 1|Tabela 2),"DailyMed, Fluvoxamine Maleate; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.; APA/NICE OCD Guidelines.",TM(Tabela 1|Tabela 2),TM(Tabela 1|Tabela 2),TM(Tabela 1|Tabela 2),TM(Tabela 1|Tabela 2),PENDENTE_PESQUISAR,TM(Tabela 1|Tabela 2),TM(Tabela 1|Tabela 2),TM(Tabela 1|Tabela 2),TM=Tabela Motor/local; DM=DailyMed/FDA; ST-E=Stahl Essential; ST-PG=Stahl Prescriber; GG=Goodman Gilman; APA=American Psychiatric Association; NICE=NICE; EMA=European Medicines Agency; ANVISA=Agencia regulatoria brasileira
