medication_name,disease_or_context,role,status,phase,notes,source_reference,review_status
Venlafaxina XR,Transtorno depressivo maior,tratamento_principal_antidepressivo,principal_guideline_or_regulatory,aguda/manutencao,"Escolha depende de gravidade, sintomas predominantes, comorbidades, riscos e tratamentos previos.",NICE NG222; texto fundador,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Vilazodona,Transtorno depressivo maior,tratamento_principal_antidepressivo,principal_guideline_or_regulatory,aguda/manutencao,"Escolha depende de gravidade, sintomas predominantes, comorbidades, riscos e tratamentos previos.",NICE NG222; texto fundador,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Vortioxetina,Transtorno depressivo maior,tratamento_principal_antidepressivo,principal_guideline_or_regulatory,aguda/manutencao,"Escolha depende de gravidade, sintomas predominantes, comorbidades, riscos e tratamentos previos.",NICE NG222; texto fundador,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Aripiprazol,Depressao resistente,potencializacao_adjuvante,adjuvante_selecionado,resistente,Nao exibir automaticamente como substituto de antidepressivo; diferenciar antidepressivo principal vs potencializador.,NICE NG222/CANMAT/APA conforme caso; texto fundador,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Quetiapina,Depressao resistente,potencializacao_adjuvante,adjuvante_selecionado,resistente,Nao exibir automaticamente como substituto de antidepressivo; diferenciar antidepressivo principal vs potencializador.,NICE NG222/CANMAT/APA conforme caso; texto fundador,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Litio,Depressao resistente,potencializacao_adjuvante,adjuvante_selecionado,resistente,Nao exibir automaticamente como substituto de antidepressivo; diferenciar antidepressivo principal vs potencializador.,NICE NG222/CANMAT/APA conforme caso; texto fundador,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Olanzapina,Depressao resistente,potencializacao_adjuvante,adjuvante_selecionado,resistente,Nao exibir automaticamente como substituto de antidepressivo; diferenciar antidepressivo principal vs potencializador.,NICE NG222/CANMAT/APA conforme caso; texto fundador,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Risperidona,Depressao resistente,potencializacao_adjuvante,adjuvante_selecionado,resistente,Nao exibir automaticamente como substituto de antidepressivo; diferenciar antidepressivo principal vs potencializador.,NICE NG222/CANMAT/APA conforme caso; texto fundador,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Mirtazapina,Depressao com insonia/baixa ingestao/perda de peso,adequacao_ao_perfil_sintomatico,perfil_sintomatico,,"Sedacao nao equivale automaticamente a melhor opcao; considerar peso, hipotensao, anticolinergico e sonolencia diurna.",Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Trazodona,Depressao com insonia/baixa ingestao/perda de peso,adequacao_ao_perfil_sintomatico,perfil_sintomatico,,"Sedacao nao equivale automaticamente a melhor opcao; considerar peso, hipotensao, anticolinergico e sonolencia diurna.",Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Amitriptilina,Depressao com insonia/baixa ingestao/perda de peso,adequacao_ao_perfil_sintomatico,perfil_sintomatico,,"Sedacao nao equivale automaticamente a melhor opcao; considerar peso, hipotensao, anticolinergico e sonolencia diurna.",Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Doxepina,Depressao com insonia/baixa ingestao/perda de peso,adequacao_ao_perfil_sintomatico,perfil_sintomatico,,"Sedacao nao equivale automaticamente a melhor opcao; considerar peso, hipotensao, anticolinergico e sonolencia diurna.",Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Mianserina,Depressao com insonia/baixa ingestao/perda de peso,adequacao_ao_perfil_sintomatico,perfil_sintomatico,,"Sedacao nao equivale automaticamente a melhor opcao; considerar peso, hipotensao, anticolinergico e sonolencia diurna.",Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Bupropiona,Depressao com fadiga/hipersonia/baixa energia,adequacao_ao_perfil_sintomatico,perfil_sintomatico,,Perfil mais ativador; nao e indicacao exclusiva.,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Bupropiona XL,Depressao com fadiga/hipersonia/baixa energia,adequacao_ao_perfil_sintomatico,perfil_sintomatico,,Perfil mais ativador; nao e indicacao exclusiva.,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Fluoxetina,Depressao com fadiga/hipersonia/baixa energia,adequacao_ao_perfil_sintomatico,perfil_sintomatico,,Perfil mais ativador; nao e indicacao exclusiva.,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Venlafaxina,Depressao com fadiga/hipersonia/baixa energia,adequacao_ao_perfil_sintomatico,perfil_sintomatico,,Perfil mais ativador; nao e indicacao exclusiva.,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Venlafaxina XR,Depressao com fadiga/hipersonia/baixa energia,adequacao_ao_perfil_sintomatico,perfil_sintomatico,,Perfil mais ativador; nao e indicacao exclusiva.,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Desvenlafaxina,Depressao com fadiga/hipersonia/baixa energia,adequacao_ao_perfil_sintomatico,perfil_sintomatico,,Perfil mais ativador; nao e indicacao exclusiva.,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Duloxetina,Depressao com fadiga/hipersonia/baixa energia,adequacao_ao_perfil_sintomatico,perfil_sintomatico,,Perfil mais ativador; nao e indicacao exclusiva.,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Vortioxetina,Depressao com fadiga/hipersonia/baixa energia,adequacao_ao_perfil_sintomatico,perfil_sintomatico,,Perfil mais ativador; nao e indicacao exclusiva.,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Escitalopram,Transtorno de ansiedade generalizada,tratamento_ansiedade,principal_ou_conforme_contexto,,"Mirtazapina e quetiapina podem ser situacionais, nao primeira escolha equivalente sem diretriz/tolerabilidade.",Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Sertralina,Transtorno de ansiedade generalizada,tratamento_ansiedade,principal_ou_conforme_contexto,,"Mirtazapina e quetiapina podem ser situacionais, nao primeira escolha equivalente sem diretriz/tolerabilidade.",Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Paroxetina,Transtorno de ansiedade generalizada,tratamento_ansiedade,principal_ou_conforme_contexto,,"Mirtazapina e quetiapina podem ser situacionais, nao primeira escolha equivalente sem diretriz/tolerabilidade.",Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Venlafaxina XR,Transtorno de ansiedade generalizada,tratamento_ansiedade,principal_ou_conforme_contexto,,"Mirtazapina e quetiapina podem ser situacionais, nao primeira escolha equivalente sem diretriz/tolerabilidade.",Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Duloxetina,Transtorno de ansiedade generalizada,tratamento_ansiedade,principal_ou_conforme_contexto,,"Mirtazapina e quetiapina podem ser situacionais, nao primeira escolha equivalente sem diretriz/tolerabilidade.",Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Fluoxetina,Transtorno de ansiedade generalizada,tratamento_ansiedade,principal_ou_conforme_contexto,,"Mirtazapina e quetiapina podem ser situacionais, nao primeira escolha equivalente sem diretriz/tolerabilidade.",Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Mirtazapina,Transtorno de ansiedade generalizada,uso_selecionado,evidencia_limitada_ou_contextual,,"Nao colocar no mesmo nivel dos ISRS/IRSN sem definir diretriz, indicacao e tolerabilidade.",Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Quetiapina,Transtorno de ansiedade generalizada,uso_selecionado,evidencia_limitada_ou_contextual,,"Nao colocar no mesmo nivel dos ISRS/IRSN sem definir diretriz, indicacao e tolerabilidade.",Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Sertralina,Transtorno do panico,tratamento_ansiedade,principal_ou_conforme_contexto,,,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Paroxetina,Transtorno do panico,tratamento_ansiedade,principal_ou_conforme_contexto,,,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Fluoxetina,Transtorno do panico,tratamento_ansiedade,principal_ou_conforme_contexto,,,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Escitalopram,Transtorno do panico,tratamento_ansiedade,principal_ou_conforme_contexto,,,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Citalopram,Transtorno do panico,tratamento_ansiedade,principal_ou_conforme_contexto,,,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Venlafaxina XR,Transtorno do panico,tratamento_ansiedade,principal_ou_conforme_contexto,,,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Clomipramina,Transtorno do panico,tratamento_ansiedade,principal_ou_conforme_contexto,,,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Imipramina,Transtorno do panico,tratamento_ansiedade,principal_ou_conforme_contexto,,,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Sertralina,Ansiedade social,tratamento_ansiedade,principal_ou_conforme_contexto,,,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Paroxetina,Ansiedade social,tratamento_ansiedade,principal_ou_conforme_contexto,,,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Escitalopram,Ansiedade social,tratamento_ansiedade,principal_ou_conforme_contexto,,,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Venlafaxina XR,Ansiedade social,tratamento_ansiedade,principal_ou_conforme_contexto,,,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Fluvoxamina,Ansiedade social,tratamento_ansiedade,principal_ou_conforme_contexto,,,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Sertralina,Transtorno obsessivo-compulsivo,tratamento_principal_toc,principal_guideline_or_regulatory,,Tratamento principal: ISRS ou clomipramina.,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Fluoxetina,Transtorno obsessivo-compulsivo,tratamento_principal_toc,principal_guideline_or_regulatory,,Tratamento principal: ISRS ou clomipramina.,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Fluvoxamina,Transtorno obsessivo-compulsivo,tratamento_principal_toc,principal_guideline_or_regulatory,,Tratamento principal: ISRS ou clomipramina.,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Paroxetina,Transtorno obsessivo-compulsivo,tratamento_principal_toc,principal_guideline_or_regulatory,,Tratamento principal: ISRS ou clomipramina.,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Escitalopram,Transtorno obsessivo-compulsivo,tratamento_principal_toc,principal_guideline_or_regulatory,,Tratamento principal: ISRS ou clomipramina.,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Citalopram,Transtorno obsessivo-compulsivo,tratamento_principal_toc,principal_guideline_or_regulatory,,Tratamento principal: ISRS ou clomipramina.,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Clomipramina,Transtorno obsessivo-compulsivo,tratamento_principal_toc,principal_guideline_or_regulatory,,Tratamento principal: ISRS ou clomipramina.,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Aripiprazol,TOC resistente,potencializacao_adjuvante,adjuvante_selecionado,resistente,Quetiapina com evidencia menos consistente que aripiprazol/risperidona em varios algoritmos.,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Risperidona,TOC resistente,potencializacao_adjuvante,adjuvante_selecionado,resistente,Quetiapina com evidencia menos consistente que aripiprazol/risperidona em varios algoritmos.,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Quetiapina,TOC resistente,potencializacao_adjuvante,adjuvante_selecionado,resistente,Quetiapina com evidencia menos consistente que aripiprazol/risperidona em varios algoritmos.,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Sertralina,Transtorno de estresse pos-traumatico,tratamento_tept,principal_ou_conforme_diretriz,,Nao classificar automaticamente antipsicoticos/sedativos como tratamento central do TEPT.,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Paroxetina,Transtorno de estresse pos-traumatico,tratamento_tept,principal_ou_conforme_diretriz,,Nao classificar automaticamente antipsicoticos/sedativos como tratamento central do TEPT.,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Venlafaxina,Transtorno de estresse pos-traumatico,tratamento_tept,principal_ou_conforme_diretriz,,Nao classificar automaticamente antipsicoticos/sedativos como tratamento central do TEPT.,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Venlafaxina XR,Transtorno de estresse pos-traumatico,tratamento_tept,principal_ou_conforme_diretriz,,Nao classificar automaticamente antipsicoticos/sedativos como tratamento central do TEPT.,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Fluoxetina,Transtorno de estresse pos-traumatico,tratamento_tept,principal_ou_conforme_diretriz,,Nao classificar automaticamente antipsicoticos/sedativos como tratamento central do TEPT.,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Quetiapina,Transtorno bipolar - episodio depressivo,tratamento_depressao_bipolar,principal_ou_conforme_diretriz,depressao_bipolar,Antidepressivos exigem avaliacao de risco de virada/ciclagem e usualmente estabilizador.,NICE CG185; texto fundador,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Lurasidona,Transtorno bipolar - episodio depressivo,tratamento_depressao_bipolar,principal_ou_conforme_diretriz,depressao_bipolar,Antidepressivos exigem avaliacao de risco de virada/ciclagem e usualmente estabilizador.,NICE CG185; texto fundador,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Lamotrigina,Transtorno bipolar - episodio depressivo,tratamento_depressao_bipolar,principal_ou_conforme_diretriz,depressao_bipolar,Antidepressivos exigem avaliacao de risco de virada/ciclagem e usualmente estabilizador.,NICE CG185; texto fundador,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Litio,Transtorno bipolar - episodio depressivo,tratamento_depressao_bipolar,principal_ou_conforme_diretriz,depressao_bipolar,Antidepressivos exigem avaliacao de risco de virada/ciclagem e usualmente estabilizador.,NICE CG185; texto fundador,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Olanzapina,Transtorno bipolar - episodio depressivo,tratamento_depressao_bipolar,principal_ou_conforme_diretriz,depressao_bipolar,Antidepressivos exigem avaliacao de risco de virada/ciclagem e usualmente estabilizador.,NICE CG185; texto fundador,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Valproato,Transtorno bipolar - episodio depressivo,tratamento_depressao_bipolar,principal_ou_conforme_diretriz,depressao_bipolar,Antidepressivos exigem avaliacao de risco de virada/ciclagem e usualmente estabilizador.,NICE CG185; texto fundador,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Divalproato,Transtorno bipolar - episodio depressivo,tratamento_depressao_bipolar,principal_ou_conforme_diretriz,depressao_bipolar,Antidepressivos exigem avaliacao de risco de virada/ciclagem e usualmente estabilizador.,NICE CG185; texto fundador,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Fluoxetina,Transtorno bipolar - episodio depressivo,associacao_especifica,associado_a_olanzapina_conforme_contexto,depressao_bipolar,Olanzapina associada a fluoxetina em determinados esquemas/contextos.,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Amitriptilina,Transtorno bipolar - antidepressivo isolado,nao_usar_automaticamente_isolado,bloquear_sem_avaliacao_de_risco,,Nao aparecer como antidepressivo bipolar isolado automatico; avaliar risco de mania/ciclagem.,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Clomipramina,Transtorno bipolar - antidepressivo isolado,nao_usar_automaticamente_isolado,bloquear_sem_avaliacao_de_risco,,Nao aparecer como antidepressivo bipolar isolado automatico; avaliar risco de mania/ciclagem.,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Imipramina,Transtorno bipolar - antidepressivo isolado,nao_usar_automaticamente_isolado,bloquear_sem_avaliacao_de_risco,,Nao aparecer como antidepressivo bipolar isolado automatico; avaliar risco de mania/ciclagem.,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Venlafaxina,Transtorno bipolar - antidepressivo isolado,nao_usar_automaticamente_isolado,bloquear_sem_avaliacao_de_risco,,Nao aparecer como antidepressivo bipolar isolado automatico; avaliar risco de mania/ciclagem.,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Bupropiona,Transtorno bipolar - antidepressivo isolado,nao_usar_automaticamente_isolado,bloquear_sem_avaliacao_de_risco,,Nao aparecer como antidepressivo bipolar isolado automatico; avaliar risco de mania/ciclagem.,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Citalopram,Transtorno bipolar - antidepressivo isolado,nao_usar_automaticamente_isolado,bloquear_sem_avaliacao_de_risco,,Nao aparecer como antidepressivo bipolar isolado automatico; avaliar risco de mania/ciclagem.,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Escitalopram,Transtorno bipolar - antidepressivo isolado,nao_usar_automaticamente_isolado,bloquear_sem_avaliacao_de_risco,,Nao aparecer como antidepressivo bipolar isolado automatico; avaliar risco de mania/ciclagem.,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Fluoxetina,Transtorno bipolar - antidepressivo isolado,nao_usar_automaticamente_isolado,bloquear_sem_avaliacao_de_risco,,Nao aparecer como antidepressivo bipolar isolado automatico; avaliar risco de mania/ciclagem.,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
