medication_name,official_query,source_system,source_status,setid,title,published_date,spl_version,label_url,service_url,query_url,source_use,review_status,notes
Clorpromazina,chlorpromazine,DailyMed/FDA,official_label_located_pending_formal_review,aa086a21-de85-4b03-af58-49b70acf8cf0,"CHLORPROMAZINE HYDROCHLORIDE TABLET, FILM COATED [AMNEAL PHARMACEUTICALS NY LLC]","Jun 30, 2026",9,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=aa086a21-de85-4b03-af58-49b70acf8cf0,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls/aa086a21-de85-4b03-af58-49b70acf8cf0.xml,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls.json?drug_name=chlorpromazine&label_type=human%2Frxonly&pagesize=20,"official regulatory locator for later dose, safety, contraindication, warning, and adverse reaction extraction",source_locator_only_no_clinical_claim_extracted,
Clozapina,clozapine,DailyMed/FDA,official_label_located_pending_formal_review,883b5d43-0339-7dc1-f775-93791fb9b978,CLOZAPINE TABLET [MYLAN PHARMACEUTICALS INC.],"May 15, 2026",35,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=883b5d43-0339-7dc1-f775-93791fb9b978,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls/883b5d43-0339-7dc1-f775-93791fb9b978.xml,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls.json?drug_name=clozapine&label_type=human%2Frxonly&pagesize=20,"official regulatory locator for later dose, safety, contraindication, warning, and adverse reaction extraction",source_locator_only_no_clinical_claim_extracted,
Desipramina,desipramine,DailyMed/FDA,official_label_located_pending_formal_review,a3b4b25d-0ddb-4531-badb-f1ba3168ac07,"DESIPRAMINE HYDROCHLORIDE (DESIPRAMINE) TABLET, FILM COATED [AMNEAL PHARMACEUTICALS NY LLC]","May 11, 2026",13,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=a3b4b25d-0ddb-4531-badb-f1ba3168ac07,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls/a3b4b25d-0ddb-4531-badb-f1ba3168ac07.xml,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls.json?drug_name=desipramine&label_type=human%2Frxonly&pagesize=20,"official regulatory locator for later dose, safety, contraindication, warning, and adverse reaction extraction",source_locator_only_no_clinical_claim_extracted,
Desvenlafaxina,desvenlafaxine,DailyMed/FDA,official_label_located_pending_formal_review,0f43610c-f290-46ea-d186-4f998ed99fce,"PRISTIQ EXTENDED-RELEASE (DESVENLAFAXINE SUCCINATE) TABLET, EXTENDED RELEASE [WYETH PHARMACEUTICALS LLC, A SUBSIDIARY OF PFIZER INC.]","Apr 27, 2026",67,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=0f43610c-f290-46ea-d186-4f998ed99fce,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls/0f43610c-f290-46ea-d186-4f998ed99fce.xml,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls.json?drug_name=desvenlafaxine&label_type=human%2Frxonly&pagesize=20,"official regulatory locator for later dose, safety, contraindication, warning, and adverse reaction extraction",source_locator_only_no_clinical_claim_extracted,
Diazepam,diazepam,DailyMed/FDA,official_label_located_pending_formal_review,f466f8a3-f31c-44f4-b0e8-444464f20f66,"DIAZEPAM INJECTION DIAZEPAM INJECTION, SOLUTION [HIKMA PHARMACEUTICALS USA INC.]","Jul 10, 2026",5,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=f466f8a3-f31c-44f4-b0e8-444464f20f66,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls/f466f8a3-f31c-44f4-b0e8-444464f20f66.xml,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls.json?drug_name=diazepam&label_type=human%2Frxonly&pagesize=20,"official regulatory locator for later dose, safety, contraindication, warning, and adverse reaction extraction",source_locator_only_no_clinical_claim_extracted,
Dissulfiram,disulfiram,DailyMed/FDA,official_label_located_pending_formal_review,d3832a1a-a140-49c1-a7df-134fa81341e3,"DISULFIRAM TABLET [GOLDEN STATE MEDICAL SUPPLY, INC.]","Jun 01, 2026",11,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=d3832a1a-a140-49c1-a7df-134fa81341e3,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls/d3832a1a-a140-49c1-a7df-134fa81341e3.xml,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls.json?drug_name=disulfiram&label_type=human%2Frxonly&pagesize=20,"official regulatory locator for later dose, safety, contraindication, warning, and adverse reaction extraction",source_locator_only_no_clinical_claim_extracted,
Divalproato,divalproex sodium,DailyMed/FDA,official_label_located_pending_formal_review,4ef6c5fd-42b2-4419-9b5a-e6d63571e3a0,"DIVALPROEX SODIUM TABLET, EXTENDED RELEASE [MAJOR PHARMACEUTICALS]","Jul 15, 2026",16,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=4ef6c5fd-42b2-4419-9b5a-e6d63571e3a0,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls/4ef6c5fd-42b2-4419-9b5a-e6d63571e3a0.xml,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls.json?drug_name=divalproex+sodium&label_type=human%2Frxonly&pagesize=20,"official regulatory locator for later dose, safety, contraindication, warning, and adverse reaction extraction",source_locator_only_no_clinical_claim_extracted,
Donepezila,donepezil,DailyMed/FDA,official_label_located_pending_formal_review,98e451e1-e4d7-4439-a675-c5457ba20975,"ARICEPT (DONEPEZIL HYDROCHLORIDE) TABLET, FILM COATED ARICEPT ODT (DONEPEZIL HYDROCHLORIDE) TABLET, ORALLY DISINTEGRATING [EISAI INC.]","Jun 30, 2026",33,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=98e451e1-e4d7-4439-a675-c5457ba20975,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls/98e451e1-e4d7-4439-a675-c5457ba20975.xml,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls.json?drug_name=donepezil&label_type=human%2Frxonly&pagesize=20,"official regulatory locator for later dose, safety, contraindication, warning, and adverse reaction extraction",source_locator_only_no_clinical_claim_extracted,
Dosulepina,dosulepin,DailyMed/FDA,not_found,,,,,,,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls.json?drug_name=dosulepin&label_type=human%2Frxonly&pagesize=20,"official regulatory locator for later dose, safety, contraindication, warning, and adverse reaction extraction",official_source_not_found_in_dailymed,
Doxepina,doxepin,DailyMed/FDA,official_label_located_pending_formal_review,c42333f8-1add-4f33-9458-6fe4436874a1,"DOXEPIN TABLET, FILM COATED [ACTAVIS PHARMA, INC.]","Jul 07, 2026",5,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=c42333f8-1add-4f33-9458-6fe4436874a1,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls/c42333f8-1add-4f33-9458-6fe4436874a1.xml,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls.json?drug_name=doxepin&label_type=human%2Frxonly&pagesize=20,"official regulatory locator for later dose, safety, contraindication, warning, and adverse reaction extraction",source_locator_only_no_clinical_claim_extracted,
Droperidol,droperidol,DailyMed/FDA,official_label_located_pending_formal_review,147e033d-d997-4ef6-8bb5-a9ba372590b2,"DROPERIDOL INJECTION, SOLUTION [AMERICAN REGENT, INC.]","Mar 21, 2023",8,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=147e033d-d997-4ef6-8bb5-a9ba372590b2,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls/147e033d-d997-4ef6-8bb5-a9ba372590b2.xml,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls.json?drug_name=droperidol&label_type=human%2Frxonly&pagesize=20,"official regulatory locator for later dose, safety, contraindication, warning, and adverse reaction extraction",source_locator_only_no_clinical_claim_extracted,
Duloxetina,duloxetine,DailyMed/FDA,official_label_located_pending_formal_review,569582d5-cb6d-735e-e063-6394a90abfb6,"DULOXETINE CAPSULE, DELAYED RELEASE [GOLDEN STATE MEDICAL SUPPLY, INC.]","Jul 15, 2026",1,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=569582d5-cb6d-735e-e063-6394a90abfb6,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls/569582d5-cb6d-735e-e063-6394a90abfb6.xml,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls.json?drug_name=duloxetine&label_type=human%2Frxonly&pagesize=20,"official regulatory locator for later dose, safety, contraindication, warning, and adverse reaction extraction",source_locator_only_no_clinical_claim_extracted,
Escitalopram,escitalopram,DailyMed/FDA,official_label_located_pending_formal_review,1b2ec266-be5b-9265-e063-6294a90a10e3,"ESCITALOPRAM TABLET, FILM COATED [ST. MARY'S MEDICAL PARK PHARMACY]","Jul 01, 2026",4,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=1b2ec266-be5b-9265-e063-6294a90a10e3,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls/1b2ec266-be5b-9265-e063-6294a90a10e3.xml,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls.json?drug_name=escitalopram&label_type=human%2Frxonly&pagesize=20,"official regulatory locator for later dose, safety, contraindication, warning, and adverse reaction extraction",source_locator_only_no_clinical_claim_extracted,
Eszopiclona,eszopiclone,DailyMed/FDA,official_label_located_pending_formal_review,c4ff1d6a-918e-c046-e053-2a95a90a9c9b,"ESZOPICLONE TABLET, FILM COATED [ST MARY'S MEDICAL PARK PHARMACY]","Jun 22, 2026",2,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=c4ff1d6a-918e-c046-e053-2a95a90a9c9b,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls/c4ff1d6a-918e-c046-e053-2a95a90a9c9b.xml,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls.json?drug_name=eszopiclone&label_type=human%2Frxonly&pagesize=20,"official regulatory locator for later dose, safety, contraindication, warning, and adverse reaction extraction",source_locator_only_no_clinical_claim_extracted,
Fenitoina,phenytoin,DailyMed/FDA,official_label_located_pending_formal_review,7e467c02-49a0-4b62-b537-430fdfa4f10e,EXTENDED PHENYTOIN SODIUM (PHENYTOIN SODIUM) CAPSULE [AMNEAL PHARMACEUTICALS LLC],"Jun 03, 2026",29,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=7e467c02-49a0-4b62-b537-430fdfa4f10e,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls/7e467c02-49a0-4b62-b537-430fdfa4f10e.xml,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls.json?drug_name=phenytoin&label_type=human%2Frxonly&pagesize=20,"official regulatory locator for later dose, safety, contraindication, warning, and adverse reaction extraction",source_locator_only_no_clinical_claim_extracted,
Fenobarbital,phenobarbital,DailyMed/FDA,official_label_located_pending_formal_review,fa09b4f2-edb0-4594-a2d2-b16f7b9686b4,"PHENOBARBITAL TABLET [SUN PHARMACEUTICAL INDUSTRIES, INC.]","Jul 15, 2026",2,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=fa09b4f2-edb0-4594-a2d2-b16f7b9686b4,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls/fa09b4f2-edb0-4594-a2d2-b16f7b9686b4.xml,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls.json?drug_name=phenobarbital&label_type=human%2Frxonly&pagesize=20,"official regulatory locator for later dose, safety, contraindication, warning, and adverse reaction extraction",source_locator_only_no_clinical_claim_extracted,
Fluoxetina,fluoxetine,DailyMed/FDA,official_label_located_pending_formal_review,77b6ae48-8e3a-42e6-9b5a-aeed750861e8,"FLUOXETINE HYDROCHLORIDE (FLUOXETINE HYDROCHLORIDE) TABLET, FILM COATED [SUN PHARMACEUTICAL INDUSTRIES, INC.]","Jul 16, 2026",6,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=77b6ae48-8e3a-42e6-9b5a-aeed750861e8,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls/77b6ae48-8e3a-42e6-9b5a-aeed750861e8.xml,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls.json?drug_name=fluoxetine&label_type=human%2Frxonly&pagesize=20,"official regulatory locator for later dose, safety, contraindication, warning, and adverse reaction extraction",source_locator_only_no_clinical_claim_extracted,
