medication_name,disease_or_context,role,status,phase,notes,source_reference,review_status,official_indication_match,official_indications_summary,official_source_anchor,evidence_review_status,next_review_action,runtime_eligible
Duloxetina,Transtorno depressivo maior,tratamento_principal_antidepressivo,principal_guideline_or_regulatory,aguda/manutencao,"Escolha depende de gravidade, sintomas predominantes, comorbidades, riscos e tratamentos previos.",NICE NG222; texto fundador,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL,false,1 INDICATIONS AND USAGE Duloxetine delayed-release capsule is a serotonin and norepinephrine reuptake inhibitor (SNRI) indicated for the treatment of the following conditions: Major depressive,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=569582d5-cb6d-735e-e063-6394a90abfb6#1 INDICATIONS AND USAGE,no_direct_label_match_guideline_or_off_label_review_required,validate_in_guideline_or_systematic_evidence,false
Escitalopram,Transtorno depressivo maior,tratamento_principal_antidepressivo,principal_guideline_or_regulatory,aguda/manutencao,"Escolha depende de gravidade, sintomas predominantes, comorbidades, riscos e tratamentos previos.",NICE NG222; texto fundador,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL,true,Escitalopram tablets are indicated for the treatment of: major depressive disorder (MDD) in adults and pediatric patients 12 years of age and older. generalized anxiety,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=1b2ec266-be5b-9265-e063-6294a90a10e3#1 INDICATIONS AND USAGE,official_label_indication_match,editorial_review_of_indication_and_role,false
Fluoxetina,Transtorno depressivo maior,tratamento_principal_antidepressivo,principal_guideline_or_regulatory,aguda/manutencao,"Escolha depende de gravidade, sintomas predominantes, comorbidades, riscos e tratamentos previos.",NICE NG222; texto fundador,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL,true,"Fluoxetine tablets are indicated for the treatment of: Major Depressive Disorder (MDD). The efficacy of fluoxetine in MDD was established in one 5-week trial, three",https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=77b6ae48-8e3a-42e6-9b5a-aeed750861e8#1 INDICATIONS AND USAGE,official_label_indication_match,editorial_review_of_indication_and_role,false
Fluvoxamina,Transtorno depressivo maior,tratamento_principal_antidepressivo,principal_guideline_or_regulatory,aguda/manutencao,"Escolha depende de gravidade, sintomas predominantes, comorbidades, riscos e tratamentos previos.",NICE NG222; texto fundador,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL,false,Obsessive-Compulsive Disorder,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=0b107225-ed5a-4461-9184-f3f2bad1892f#1 INDICATIONS AND USAGE,no_direct_label_match_guideline_or_off_label_review_required,validate_in_guideline_or_systematic_evidence,false
Imipramina,Transtorno depressivo maior,tratamento_principal_antidepressivo,principal_guideline_or_regulatory,aguda/manutencao,"Escolha depende de gravidade, sintomas predominantes, comorbidades, riscos e tratamentos previos.",NICE NG222; texto fundador,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL,false,Depression:For the relief of symptoms of depression. Endogenous depression is more likely to be alleviated than other depressive states. One to three weeks of treatment,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=51d3b181-0d15-4782-a966-feb137972b18#INDICATIONS AND USAGE,no_direct_label_match_guideline_or_off_label_review_required,validate_in_guideline_or_systematic_evidence,false
Maprotilina,Transtorno depressivo maior,tratamento_principal_antidepressivo,principal_guideline_or_regulatory,aguda/manutencao,"Escolha depende de gravidade, sintomas predominantes, comorbidades, riscos e tratamentos previos.",NICE NG222; texto fundador,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL,false,,,official_indication_source_missing,locate_alternate_official_source,false
Mianserina,Transtorno depressivo maior,tratamento_principal_antidepressivo,principal_guideline_or_regulatory,aguda/manutencao,"Escolha depende de gravidade, sintomas predominantes, comorbidades, riscos e tratamentos previos.",NICE NG222; texto fundador,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL,false,,,official_indication_source_missing,locate_alternate_official_source,false
Mirtazapina,Transtorno depressivo maior,tratamento_principal_antidepressivo,principal_guideline_or_regulatory,aguda/manutencao,"Escolha depende de gravidade, sintomas predominantes, comorbidades, riscos e tratamentos previos.",NICE NG222; texto fundador,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL,true,Mirtazapine tablets are indicated for the treatment of major depressive disorder (MDD) in adults [see Clinical Studies (14)].,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=2a0689ae-5650-42d1-ac9d-56dd2b467727#1 INDICATIONS AND USAGE,official_label_indication_match,editorial_review_of_indication_and_role,false
Nortriptilina,Transtorno depressivo maior,tratamento_principal_antidepressivo,principal_guideline_or_regulatory,aguda/manutencao,"Escolha depende de gravidade, sintomas predominantes, comorbidades, riscos e tratamentos previos.",NICE NG222; texto fundador,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL,false,Nortriptyline hydrochloride is indicated for the relief of symptoms of depression. Endogenous depressions are more likely to be alleviated than are other depressive states.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=aee2c1a1-d848-4c3b-8c6d-8a4f6ce94c28#INDICATIONS AND USAGE,no_direct_label_match_guideline_or_off_label_review_required,validate_in_guideline_or_systematic_evidence,false
Paroxetina,Transtorno depressivo maior,tratamento_principal_antidepressivo,principal_guideline_or_regulatory,aguda/manutencao,"Escolha depende de gravidade, sintomas predominantes, comorbidades, riscos e tratamentos previos.",NICE NG222; texto fundador,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL,true,Paroxetine tablets are indicated in adults for the treatment of: Major depressive disorder (MDD) Obsessive compulsive disorder (OCD) Panic disorder (PD) Social anxiety disorder (SAD),https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=118320de-0632-4139-8b13-7428b41da0ac#1 INDICATIONS AND USAGE,official_label_indication_match,editorial_review_of_indication_and_role,false
Sertralina,Transtorno depressivo maior,tratamento_principal_antidepressivo,principal_guideline_or_regulatory,aguda/manutencao,"Escolha depende de gravidade, sintomas predominantes, comorbidades, riscos e tratamentos previos.",NICE NG222; texto fundador,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL,true,Sertraline hydrochloride tablets are indicated for the treatment of the following [ See Clinical Studies (14)]: • Major depressive disorder (MDD) • Obsessive-compulsive disorder (OCD),https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=4ddfd698-3d47-fc0e-e063-6394a90accec#1 INDICATIONS AND USAGE,official_label_indication_match,editorial_review_of_indication_and_role,false
Trazodona,Transtorno depressivo maior,tratamento_principal_antidepressivo,principal_guideline_or_regulatory,aguda/manutencao,"Escolha depende de gravidade, sintomas predominantes, comorbidades, riscos e tratamentos previos.",NICE NG222; texto fundador,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL,true,Trazodone hydrochloride tablets are indicated for the treatment of major depressive disorder (MDD) in adults.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=5bc5f266-6c0e-4b9a-b6e0-ea694928b948#1 INDICATIONS AND USAGE,official_label_indication_match,editorial_review_of_indication_and_role,false
Venlafaxina,Transtorno depressivo maior,tratamento_principal_antidepressivo,principal_guideline_or_regulatory,aguda/manutencao,"Escolha depende de gravidade, sintomas predominantes, comorbidades, riscos e tratamentos previos.",NICE NG222; texto fundador,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL,true,"Venlafaxine tablets, USP are indicated for the treatment of major depressive disorder. The efficacy of venlafaxine tablets, USP in the treatment of major depressive disorder",https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=38fd2c97-cd30-2f7d-e054-00144ff8d46c#INDICATIONS AND USAGE,official_label_indication_match,editorial_review_of_indication_and_role,false
Venlafaxina XR,Transtorno depressivo maior,tratamento_principal_antidepressivo,principal_guideline_or_regulatory,aguda/manutencao,"Escolha depende de gravidade, sintomas predominantes, comorbidades, riscos e tratamentos previos.",NICE NG222; texto fundador,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL,true,"Venlafaxine tablets, USP are indicated for the treatment of major depressive disorder. The efficacy of venlafaxine tablets, USP in the treatment of major depressive disorder",https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=38fd2c97-cd30-2f7d-e054-00144ff8d46c#INDICATIONS AND USAGE,official_label_indication_match,editorial_review_of_indication_and_role,false
Vilazodona,Transtorno depressivo maior,tratamento_principal_antidepressivo,principal_guideline_or_regulatory,aguda/manutencao,"Escolha depende de gravidade, sintomas predominantes, comorbidades, riscos e tratamentos previos.",NICE NG222; texto fundador,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL,true,VIIBRYD® is indicated for the treatment of major depressive disorder (MDD) in adults [see Clinical Studies ( 14 )].,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=4c55ccfb-c4cf-11df-851a-0800200c9a66#1 INDICATIONS AND USAGE,official_label_indication_match,editorial_review_of_indication_and_role,false
Vortioxetina,Transtorno depressivo maior,tratamento_principal_antidepressivo,principal_guideline_or_regulatory,aguda/manutencao,"Escolha depende de gravidade, sintomas predominantes, comorbidades, riscos e tratamentos previos.",NICE NG222; texto fundador,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL,true,TRINTELLIX is indicated for the treatment of major depressive disorder (MDD) in adults.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=cb1e9df4-dd74-4073-9d78-bb55593dd000#1 INDICATIONS AND USAGE,official_label_indication_match,editorial_review_of_indication_and_role,false
Aripiprazol,Depressao resistente,potencializacao_adjuvante,adjuvante_selecionado,resistente,Nao exibir automaticamente como substituto de antidepressivo; diferenciar antidepressivo principal vs potencializador.,NICE NG222/CANMAT/APA conforme caso; texto fundador,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL,false,Aripiprazole oral solution is indicated for the treatment of: • Schizophrenia [see Clinical Studies (14.1)] • Acute Treatment of Manic and Mixed Episodes associated with,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=042b725c-1c17-4cfb-80b2-c841226d795e#1 INDICATIONS AND USAGE,no_direct_label_match_guideline_or_off_label_review_required,validate_in_guideline_or_systematic_evidence,false
Quetiapina,Depressao resistente,potencializacao_adjuvante,adjuvante_selecionado,resistente,Nao exibir automaticamente como substituto de antidepressivo; diferenciar antidepressivo principal vs potencializador.,NICE NG222/CANMAT/APA conforme caso; texto fundador,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL,false,Schizophrenia | Bipolar Disorder | Special Considerations in Treating Pediatric Schizophrenia and Bipolar I Disorder,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=5643d339-50ea-405d-e063-6394a90a3b70#1. INDICATIONS AND USAGE,no_direct_label_match_guideline_or_off_label_review_required,validate_in_guideline_or_systematic_evidence,false
Litio,Depressao resistente,potencializacao_adjuvante,adjuvante_selecionado,resistente,Nao exibir automaticamente como substituto de antidepressivo; diferenciar antidepressivo principal vs potencializador.,NICE NG222/CANMAT/APA conforme caso; texto fundador,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL,false,Lithium is a mood-stabilizing agent indicated as monotherapy for the treatment of bipolar I disorder: Treatment of acute manic and mixed episodes in patients 7,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=049902a9-3af1-4863-994e-15f36e7a9793#1 INDICATIONS AND USAGE,no_direct_label_match_guideline_or_off_label_review_required,validate_in_guideline_or_systematic_evidence,false
Olanzapina,Depressao resistente,potencializacao_adjuvante,adjuvante_selecionado,resistente,Nao exibir automaticamente como substituto de antidepressivo; diferenciar antidepressivo principal vs potencializador.,NICE NG222/CANMAT/APA conforme caso; texto fundador,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL,false,Schizophrenia | Bipolar I Disorder (Manic or Mixed Episodes) | Monotherapy | Adjunctive Therapy to Lithium or Valproate | Special Considerations in Treating Pediatric Schizophrenia and Bipolar I Disorder | Olanzapine and Fluoxetine in Combination: Depressive Episodes Associated with Bipolar I Disorder | Olanzapine and Fluoxetine in Combination: Treatment Resistant Depression,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=0ecbf540-572e-4ca4-b694-18ca1cd1c194#1 INDICATIONS AND USAGE,no_direct_label_match_guideline_or_off_label_review_required,validate_in_guideline_or_systematic_evidence,false
Risperidona,Depressao resistente,potencializacao_adjuvante,adjuvante_selecionado,resistente,Nao exibir automaticamente como substituto de antidepressivo; diferenciar antidepressivo principal vs potencializador.,NICE NG222/CANMAT/APA conforme caso; texto fundador,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL,false,Schizophrenia | Bipolar Mania | Irritability Associated with Autistic Disorder,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=5643c32b-310e-4888-e063-6394a90ab62f#1 INDICATIONS AND USAGE,no_direct_label_match_guideline_or_off_label_review_required,validate_in_guideline_or_systematic_evidence,false
Mirtazapina,Depressao com insonia/baixa ingestao/perda de peso,adequacao_ao_perfil_sintomatico,perfil_sintomatico,,"Sedacao nao equivale automaticamente a melhor opcao; considerar peso, hipotensao, anticolinergico e sonolencia diurna.",Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL,false,Mirtazapine tablets are indicated for the treatment of major depressive disorder (MDD) in adults [see Clinical Studies (14)].,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=2a0689ae-5650-42d1-ac9d-56dd2b467727#1 INDICATIONS AND USAGE,no_direct_label_match_guideline_or_off_label_review_required,validate_in_guideline_or_systematic_evidence,false
Trazodona,Depressao com insonia/baixa ingestao/perda de peso,adequacao_ao_perfil_sintomatico,perfil_sintomatico,,"Sedacao nao equivale automaticamente a melhor opcao; considerar peso, hipotensao, anticolinergico e sonolencia diurna.",Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL,false,Trazodone hydrochloride tablets are indicated for the treatment of major depressive disorder (MDD) in adults.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=5bc5f266-6c0e-4b9a-b6e0-ea694928b948#1 INDICATIONS AND USAGE,no_direct_label_match_guideline_or_off_label_review_required,validate_in_guideline_or_systematic_evidence,false
Amitriptilina,Depressao com insonia/baixa ingestao/perda de peso,adequacao_ao_perfil_sintomatico,perfil_sintomatico,,"Sedacao nao equivale automaticamente a melhor opcao; considerar peso, hipotensao, anticolinergico e sonolencia diurna.",Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL,false,For the relief of symptoms of depression. Endogenous depression is more likely to be alleviated than are other depressive states.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=35aa7ab3-321a-97f7-e063-6294a90a91e2#INDICATIONS AND USAGE,no_direct_label_match_guideline_or_off_label_review_required,validate_in_guideline_or_systematic_evidence,false
Doxepina,Depressao com insonia/baixa ingestao/perda de peso,adequacao_ao_perfil_sintomatico,perfil_sintomatico,,"Sedacao nao equivale automaticamente a melhor opcao; considerar peso, hipotensao, anticolinergico e sonolencia diurna.",Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL,false,Doxepin tablets are indicated for the treatment of insomnia characterized by difficulty with sleep maintenance. The clinical trials performed in support of efficacy were up,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=c42333f8-1add-4f33-9458-6fe4436874a1#1 INDICATIONS AND USAGE,no_direct_label_match_guideline_or_off_label_review_required,validate_in_guideline_or_systematic_evidence,false
Mianserina,Depressao com insonia/baixa ingestao/perda de peso,adequacao_ao_perfil_sintomatico,perfil_sintomatico,,"Sedacao nao equivale automaticamente a melhor opcao; considerar peso, hipotensao, anticolinergico e sonolencia diurna.",Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL,false,,,official_indication_source_missing,locate_alternate_official_source,false
Bupropiona,Depressao com fadiga/hipersonia/baixa energia,adequacao_ao_perfil_sintomatico,perfil_sintomatico,,Perfil mais ativador; nao e indicacao exclusiva.,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL,false,Major Depressive Disorder | Seasonal Affective Disorder,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=3ec04240-baef-44d7-8d73-a181171eec43#1 INDICATIONS AND USAGE,no_direct_label_match_guideline_or_off_label_review_required,validate_in_guideline_or_systematic_evidence,false
Bupropiona XL,Depressao com fadiga/hipersonia/baixa energia,adequacao_ao_perfil_sintomatico,perfil_sintomatico,,Perfil mais ativador; nao e indicacao exclusiva.,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL,false,Major Depressive Disorder | Seasonal Affective Disorder,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=3ec04240-baef-44d7-8d73-a181171eec43#1 INDICATIONS AND USAGE,no_direct_label_match_guideline_or_off_label_review_required,validate_in_guideline_or_systematic_evidence,false
Fluoxetina,Depressao com fadiga/hipersonia/baixa energia,adequacao_ao_perfil_sintomatico,perfil_sintomatico,,Perfil mais ativador; nao e indicacao exclusiva.,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL,false,"Fluoxetine tablets are indicated for the treatment of: Major Depressive Disorder (MDD). The efficacy of fluoxetine in MDD was established in one 5-week trial, three",https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=77b6ae48-8e3a-42e6-9b5a-aeed750861e8#1 INDICATIONS AND USAGE,no_direct_label_match_guideline_or_off_label_review_required,validate_in_guideline_or_systematic_evidence,false
Venlafaxina,Depressao com fadiga/hipersonia/baixa energia,adequacao_ao_perfil_sintomatico,perfil_sintomatico,,Perfil mais ativador; nao e indicacao exclusiva.,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL,false,"Venlafaxine tablets, USP are indicated for the treatment of major depressive disorder. The efficacy of venlafaxine tablets, USP in the treatment of major depressive disorder",https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=38fd2c97-cd30-2f7d-e054-00144ff8d46c#INDICATIONS AND USAGE,no_direct_label_match_guideline_or_off_label_review_required,validate_in_guideline_or_systematic_evidence,false
Venlafaxina XR,Depressao com fadiga/hipersonia/baixa energia,adequacao_ao_perfil_sintomatico,perfil_sintomatico,,Perfil mais ativador; nao e indicacao exclusiva.,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL,false,"Venlafaxine tablets, USP are indicated for the treatment of major depressive disorder. The efficacy of venlafaxine tablets, USP in the treatment of major depressive disorder",https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=38fd2c97-cd30-2f7d-e054-00144ff8d46c#INDICATIONS AND USAGE,no_direct_label_match_guideline_or_off_label_review_required,validate_in_guideline_or_systematic_evidence,false
Desvenlafaxina,Depressao com fadiga/hipersonia/baixa energia,adequacao_ao_perfil_sintomatico,perfil_sintomatico,,Perfil mais ativador; nao e indicacao exclusiva.,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL,false,PRISTIQ is indicated for the treatment of adults with major depressive disorder (MDD) [see Clinical Studies (14)].,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=0f43610c-f290-46ea-d186-4f998ed99fce#1 INDICATIONS AND USAGE,no_direct_label_match_guideline_or_off_label_review_required,validate_in_guideline_or_systematic_evidence,false
Duloxetina,Depressao com fadiga/hipersonia/baixa energia,adequacao_ao_perfil_sintomatico,perfil_sintomatico,,Perfil mais ativador; nao e indicacao exclusiva.,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL,false,1 INDICATIONS AND USAGE Duloxetine delayed-release capsule is a serotonin and norepinephrine reuptake inhibitor (SNRI) indicated for the treatment of the following conditions: Major depressive,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=569582d5-cb6d-735e-e063-6394a90abfb6#1 INDICATIONS AND USAGE,no_direct_label_match_guideline_or_off_label_review_required,validate_in_guideline_or_systematic_evidence,false
Vortioxetina,Depressao com fadiga/hipersonia/baixa energia,adequacao_ao_perfil_sintomatico,perfil_sintomatico,,Perfil mais ativador; nao e indicacao exclusiva.,Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL,false,TRINTELLIX is indicated for the treatment of major depressive disorder (MDD) in adults.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=cb1e9df4-dd74-4073-9d78-bb55593dd000#1 INDICATIONS AND USAGE,no_direct_label_match_guideline_or_off_label_review_required,validate_in_guideline_or_systematic_evidence,false
Escitalopram,Transtorno de ansiedade generalizada,tratamento_ansiedade,principal_ou_conforme_contexto,,"Mirtazapina e quetiapina podem ser situacionais, nao primeira escolha equivalente sem diretriz/tolerabilidade.",Texto fundador Uso por Doenca; NICE/Guideline quando indicado,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL,false,Escitalopram tablets are indicated for the treatment of: major depressive disorder (MDD) in adults and pediatric patients 12 years of age and older. generalized anxiety,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=1b2ec266-be5b-9265-e063-6294a90a10e3#1 INDICATIONS AND USAGE,no_direct_label_match_guideline_or_off_label_review_required,validate_in_guideline_or_systematic_evidence,false
