medication_name,source_system,source_status,source_title,source_version,source_date,source_url,source_locator,indications_anchor,indications_summary,dosage_anchor,dosage_excerpt,mechanism_anchor,mechanism_excerpt,warnings_anchor,warnings_excerpt,interactions_anchor,interactions_excerpt,content_sha256,extraction_status,editorial_status,runtime_eligible
Buprenorfina,DailyMed/FDA,official_label_located_pending_formal_review,"BUPRENORPHINE AND NALOXONE TABLET [ASCEND LABORATORIES, LLC]",19,"Jul 06, 2026",https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=2e807ed0-6df3-47b5-b7ee-b421c5bf0aa7,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls/2e807ed0-6df3-47b5-b7ee-b421c5bf0aa7.xml,1 INDICATIONS & USAGE,Buprenorphine and Naloxone Sublingual Tablets are indicated for the maintenance treatment of opioid dependence. Buprenorphine and Naloxone Sublingual Tablets should be used as part of,2 DOSAGE & ADMINISTRATION,2 DOSAGE & ADMINISTRATION Administer Buprenorphine and Naloxone Sublingual Tablets sublingually as a single daily dose. | (2.3) The maintenance dose of Buprenorphine and Naloxone Sublingual Tablets is generally in the range of 4 mg/1 mg to 24 mg/6 mg per day | (2.7) 2.1 Important Dosage and Administration Information Buprenorphine and Naloxone Sublingual Tablets are administered sublingually as a single daily dose.,12.1 Mechanism of Action,Buprenorphine and Naloxone Sublingual Tablets contain buprenorphine and naloxone. Buprenorphine is a partial agonist at the mu-opioid receptor and an antagonist at the kappa-opioid receptor.,5 WARNINGS AND PRECAUTIONS,"5 WARNINGS AND PRECAUTIONS Addiction, Abuse, and Misuse: Buprenorphine can be abused in a similar manner to other opioids. Clinical monitoring appropriate to the patient’s",7 DRUG INTERACTIONS,Table 3 includes clinically significant drug interactions with Buprenorphine and Naloxone Sublingual Tablets. Table 3. Clinically Significant Drug Interactions Benzodiazepines or Other Central Nervous System,31d652384ec2b4d8525c13b1d26f64aeb0cebd3cf6d8c5ac7fb829802478f099,official_claim_anchors_extracted,pending_formal_review,false
Bupropiona,DailyMed/FDA,official_label_located_pending_formal_review,"BUPROPION HYDROBROMIDE TABLET, EXTENDED RELEASE [OCEANSIDE PHARMACEUTICALS]",3,"Jul 13, 2026",https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=3ec04240-baef-44d7-8d73-a181171eec43,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls/3ec04240-baef-44d7-8d73-a181171eec43.xml,1 INDICATIONS AND USAGE,Major Depressive Disorder | Seasonal Affective Disorder,2 DOSAGE AND ADMINISTRATION,"(2.1, 5.3) Major Depressive Disorder •Starting dose: 174 mg once daily (equivalent to 150 mg bupropion HCl). | Usual target dose: 348 mg once daily (equivalent to 300 mg bupropion HCl). | (2.3) •After 4 days, may increase the dose to 348 mg once daily.",12.1 Mechanism of Action,"The mechanism of action of bupropion is unknown, as is the case with other antidepressants. However, it is presumed that this action is mediated by",5 WARNINGS AND PRECAUTIONS,5 WARNINGS AND PRECAUTIONS •Neuropsychiatric Adverse Events During Smoking Cessation: Postmarketing reports of serious or clinically significant neuropsychiatric adverse events have included changes in mood,7 DRUG INTERACTIONS,"7 DRUG INTERACTIONS •CYP2B6 inducers: Dose increase may be necessary if coadministered with CYP2B6 inducers (e.g., ritonavir, lopinavir, efavirenz, carbamazepine, phenobarbital, phenytoin) based on clinical",b4cb7aacec141039078a3690b3fbe05e3a300fbdb6281bcc9afd30ac9e4fd244,official_claim_anchors_extracted,pending_formal_review,false
Bupropiona XL,DailyMed/FDA,official_label_located_pending_formal_review,"BUPROPION HYDROBROMIDE TABLET, EXTENDED RELEASE [OCEANSIDE PHARMACEUTICALS]",3,"Jul 13, 2026",https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=3ec04240-baef-44d7-8d73-a181171eec43,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls/3ec04240-baef-44d7-8d73-a181171eec43.xml,1 INDICATIONS AND USAGE,Major Depressive Disorder | Seasonal Affective Disorder,2 DOSAGE AND ADMINISTRATION,"(2.1, 5.3) Major Depressive Disorder •Starting dose: 174 mg once daily (equivalent to 150 mg bupropion HCl). | Usual target dose: 348 mg once daily (equivalent to 300 mg bupropion HCl). | (2.3) •After 4 days, may increase the dose to 348 mg once daily.",12.1 Mechanism of Action,"The mechanism of action of bupropion is unknown, as is the case with other antidepressants. However, it is presumed that this action is mediated by",5 WARNINGS AND PRECAUTIONS,5 WARNINGS AND PRECAUTIONS •Neuropsychiatric Adverse Events During Smoking Cessation: Postmarketing reports of serious or clinically significant neuropsychiatric adverse events have included changes in mood,7 DRUG INTERACTIONS,"7 DRUG INTERACTIONS •CYP2B6 inducers: Dose increase may be necessary if coadministered with CYP2B6 inducers (e.g., ritonavir, lopinavir, efavirenz, carbamazepine, phenobarbital, phenytoin) based on clinical",b4cb7aacec141039078a3690b3fbe05e3a300fbdb6281bcc9afd30ac9e4fd244,official_claim_anchors_extracted,pending_formal_review,false
Buspirona,DailyMed/FDA,official_label_located_pending_formal_review,"BUCAPSOL (BUSPIRONE HYDROCHLORIDE) CAPSULE [PANGEA PHARMACEUTICALS, LLC]",6,"Jul 15, 2026",https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=f101c5f3-d533-474d-a8bf-90d054933d16,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls/f101c5f3-d533-474d-a8bf-90d054933d16.xml,INDICATIONS AND USAGE,Bucapsol TMcapsules are indicated for the management of anxiety disorders or the short-term relief of the symptoms of anxiety. Anxiety or tension associated with the,DOSAGE AND ADMINISTRATION,"The recommended initial dose is 15 mg daily (7.5 mg two times per day). | To achieve an optimal therapeutic response, at intervals of 2 to 3 days the dosage may be increased 5 mg per day, as needed. | The maximum daily dosage should not exceed 60 mg per day.",,,,,Drug Interactions,Drug Interactions Psychotropic Agents MAO inhibitors:The use of monoamine oxidase inhibitors (MAOIs) intended to treat depression with buspirone or within 14 days of stopping treatment,61e2a166687ac300813f065e8336021308f4b7e68d481143e26b84f9293581bc,official_claim_anchors_extracted,pending_formal_review,false
Carbamazepina,DailyMed/FDA,official_label_located_pending_formal_review,"TEGRETOL (CARBAMAZEPINE) SUSPENSION TEGRETOL (CARBAMAZEPINE) TABLET TEGRETOL XR (CARBAMAZEPINE) TABLET, EXTENDED RELEASE [NOVARTIS PHARMACEUTICALS CORPORATION]",37,"Jul 13, 2026",https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=8d409411-aa9f-4f3a-a52c-fbcb0c3ec053,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls/8d409411-aa9f-4f3a-a52c-fbcb0c3ec053.xml,INDICATIONS AND USAGE,Epilepsy | Trigeminal Neuralgia,DOSAGE AND ADMINISTRATION (SEE TABLE BELOW),"Since a given dose of Tegretol suspension will produce higher peak levels than the same dose given as the tablet, it is recommended to start | Epilepsy (see INDICATIONS AND USAGE) Adults and children over 12 years of age-Initial: Either 200 mg twice a day for tablets and XR tablets, or | Increase at weekly intervals by adding up to 200 mg/day using a twice a day regimen of Tegretol-XR or a three times a day or",Mechanism of Action,Tegretol has demonstrated anticonvulsant properties in rats and mice with electrically and chemically induced seizures. It appears to act by reducing polysynaptic responses and blocking,,,Drug Interactions,There has been a report of a patient who passed an orange rubbery precipitate in his stool the day after ingesting Tegretol suspension immediately followed,fc0f54ad87eb9cc5bf88d699863bbc110a0a133021c16042503cdf6d8004736e,official_claim_anchors_extracted,pending_formal_review,false
Cariprazina,DailyMed/FDA,official_label_located_pending_formal_review,"VRAYLAR (CARIPRAZINE) CAPSULE, GELATIN COATED VRAYLAR (CARIPRAZINE) KIT [ALLERGAN, INC.]",30,"Dec 31, 2025",https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=4b5f7c65-aa2d-452a-b3db-bc85c06ff12f,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls/4b5f7c65-aa2d-452a-b3db-bc85c06ff12f.xml,1 . INDICATIONS AND USAGE,VRAYLAR® is indicated for: • Treatment of schizophrenia in adult and pediatric patients 13 years of age and older [see Clinical Studies ( 14.1 )],2 . DOSAGE AND ADMINISTRATION,"DOSAGE AND ADMINISTRATION Administer VRAYLAR orally once daily with or without food (2) Starting Dose Recommended Dose Schizophrenia in Adults (2.2) 1.5 mg daily 1.5 | Dosages above 6 mg daily do not confer significant benefit, but increase the risk of dose-related adverse reactions (2.2, 2.3) Pediatric patients with Schizophrenia and | Adults with Bipolar Depression: Maximum recommended daily dosage is 3 mg (2.4) Adjunctive therapy for treatment of MDD in Adults: Maximum recommended daily dosage is",12.1 Mechanism of Action,"The mechanism of action of cariprazine is unknown. However, the efficacy of cariprazine could be mediated through a combination of partial agonist activity at central",5 . WARNINGS AND PRECAUTIONS,"5 . WARNINGS AND PRECAUTIONS Cerebrovascular Adverse Reactions in Elderly Patients with Dementia-Related Psychosis: Increased incidence of cerebrovascular adverse reactions (e.g., stroke, transient ischemic attack)",7 DRUG INTERACTIONS,Table 15 displays clinically significant drug interactions with VRAYLAR. Table 15. Clinically Significant Drug Interactions with VRAYLAR Strong or Moderate CYP3A4 Inhibitors Clinical Impact: Concomitant,fd458315f071dfbecc4a7e21754c89b18f79a0a12dcd9704ce75d36035eb8ed8,official_claim_anchors_extracted,pending_formal_review,false
Citalopram,DailyMed/FDA,official_label_located_pending_formal_review,"CITALOPRAM TABLET, FILM COATED [NORTHWIND HEALTH COMPANY, LLC]",6,"Jul 06, 2026",https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=a7ef6ad2-5f22-4ac7-b57a-f498bcb53be1,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls/a7ef6ad2-5f22-4ac7-b57a-f498bcb53be1.xml,1 INDICATIONS AND USAGE,Citalopram tablets are indicated for the treatment of major depressive disorder (MDD) in adults [see Clinical Studies ( 14)] .,2 DOSAGE AND ADMINISTRATION,,12.1 Mechanism of Action,"The mechanism of action of citalopram is unclear, but is presumed to be related to potentiation of serotonergic activity in the central nervous system (CNS)",5 WARNINGS AND PRECAUTIONS,,7 DRUG INTERACTIONS,Table 5 presents clinically important drug interactions with citalopram. Table 5: Clinically Important Drug Interactions with Citalopram Monoamine Oxidase Inhibitors (MAOIs) Clinical Impact Concomitant use,73fb52e1434b9acf8523c3bc83f1c4bde94416b8689bd853c47a8eac82a24c4b,official_claim_anchors_extracted,pending_formal_review,false
Clobazam,DailyMed/FDA,official_label_located_pending_formal_review,CLOBAZAM TABLET [AMNEAL PHARMACEUTICALS NY LLC],10,"Jul 01, 2026",https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=6783eaa8-e236-4957-aaa9-b42bf8e709a7,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls/6783eaa8-e236-4957-aaa9-b42bf8e709a7.xml,1 INDICATIONS AND USAGE,Clobazam tablets are indicated for the adjunctive treatment of seizures associated with Lennox-Gastaut syndrome (LGS) in patients 2 years of age or older.,2 DOSAGE AND ADMINISTRATION,,12.1 Mechanism of Action,"The exact mechanism of action for clobazam, a 1,5-benzodiazepine, is not fully understood but is thought to involve potentiation of GABAergic neurotransmission resulting from binding",5 WARNINGS AND PRECAUTIONS,,7 DRUG INTERACTIONS,7 DRUG INTERACTIONS Alcohol: Increases blood levels of clobazam by about 50%. (7.2) Drugs metabolized by CYP2D6: Lower doses of these drugs may be required,7c8aaeae967ce3a78469b8c1f3b735ec0cfdfe0761821cafc45c9e0ff075fad9,official_claim_anchors_extracted,pending_formal_review,false
Clomipramina,DailyMed/FDA,official_label_located_pending_formal_review,"CALMERA (CLOMIPRAMINE HYDROCHLORIDE) TABLET [ASPEN VETERINARY RESOURCES, LTD.]",3,"Mar 11, 2026",https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=2b1bcbd9-88be-4d46-8301-10daa805dc0e,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls/2b1bcbd9-88be-4d46-8301-10daa805dc0e.xml,Indications & Usage:,CALMERA tablets are to be used as part of a comprehensive behavioral management program to treat separation anxiety in dogs greater than 6 months of,Dosage & Administration:,The recommended daily dose of CALMERA tablets is 2 to 4 mg/kg/day (0.9 -1.8 mg/lb/day) (see dosing table below). | Tablets per Day Tablet Strength 2.75 - 5.5 5 mg 1 5 mg 5.6 - 10.9 10 mg 2 5 mg 11 - 22 20,,,,,Drug Interactions:,Recommendations on the interaction between clomipramine and other medications are extrapolated from data generated in humans. Plasma levels of tricyclic antidepressants have been reported to,924753b5c6e6e2a1a7b3bd726827b8c83fcfd18baa91f6017e9fcc8067099aaa,official_claim_anchors_extracted,pending_formal_review,false
Clonazepam,DailyMed/FDA,official_label_located_pending_formal_review,CLONAZEPAM TABLET [ADVAGEN PHARMA LTD],4,"Jun 26, 2026",https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=30d674f9-f1b3-4c2d-a8e9-3bc8e476f1ec,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls/30d674f9-f1b3-4c2d-a8e9-3bc8e476f1ec.xml,INDICATIONS AND USAGE,"Seizure Disorders: Clonazepam tablets are useful alone or as an adjunct in the treatment of the Lennox- Gastaut syndrome (petit mal variant), akinetic and myoclonic",DOSAGE AND ADMINISTRATION,Adults: The initial dose for adults with seizure disorders should not exceed 1.5 mg/day divided into three doses. | Dosage may be increased in increments of 0.5 to 1 mg every 3 days until seizures are adequately controlled or until side effects preclude any | Maximum recommended daily dose is 20 mg.,,,,,,Drug Interactions: Effect of Concomitant Use of Benzodiazepine and Opioids: The concomitant use of benzodiazepines and opioids increases the risk of respiratory depression because of,5da76e90380db94ddd3474823101c285f5749ffabde321e52124e6fe0980a4ad,official_claim_anchors_extracted,pending_formal_review,false
Clonidina,DailyMed/FDA,official_label_located_pending_formal_review,CLONIDINE HYDROCHLORIDE TABLET [ST. MARY'S MEDICAL PARK PHARMACY],3,"Jun 29, 2026",https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=32d72d7b-5881-f431-e063-6394a90a3547,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls/32d72d7b-5881-f431-e063-6394a90a3547.xml,INDICATIONS AND USAGE,Clonidine hydrochloride tablets are indicated in the treatment of hypertension. Clonidine hydrochloride tablets may be employed alone or concomitantly with other antihypertensive agents.,DOSAGE AND ADMINISTRATION,Initial Dose 0.1 mg tablet twice daily (morning and bedtime). | Maintenance Dose Further increments of 0.1 mg per day may be made at weekly intervals if necessary until the desired response is achieved. | The therapeutic doses most commonly employed have ranged from 0.2 mg to 0.6 mg per day given in divided doses.,,,,,DRUG INTERACTIONS,"Clonidine may potentiate the CNS-depressive effects of alcohol, barbiturates or other sedating drugs. If a patient receiving clonidine hydrochloride is also taking tricyclic antidepressants, the",4085fbdfc86178b8bf9a77160df3c7862a7ec39c586259421725e2d7dac6091c,official_claim_anchors_extracted,pending_formal_review,false
