medication_id,medication_name,drug_class,condition_or_context,condition_key,dose_effect_band,dose_effect_min,dose_effect_max,dose_effect_goal,dominant_effect,mechanism_or_target,condition_range,condition_range_min,condition_range_max,range_source,strategy_if_below_range,strategy_if_within_range_partial_response,strategy_if_within_range_no_response,strategy_if_above_range,strategy_if_range_missing,dose_effect_source,evidence_status,notes
agomelatina,Agomelatina,Atipico antidepressivo,Transtorno depressivo maior,depressao_ansiosa,"50 mg à noite: mesmo mecanismo, com maior exposição; não surge um novo perfil farmacológico. (DM/EMA/ANVISA/ST-E/GG/PENDENTE)",50,50,"sono, humor",SEM_MUDANCA_QUALITATIVA_COMPROVADA. (DM/EMA/ANVISA/ST-E/GG/PENDENTE),SEM_MUDANCA_QUALITATIVA_COMPROVADA. (DM/EMA/ANVISA/ST-E/GG/PENDENTE),nao cadastrado,,,TM/Aba 1 consultada; par medicamento-quadro nao cadastrado,considerar_otimizacao_de_dose_ate_faixa_por_quadro,revisar_alvo_residual_tempo_adesao_e_considerar_troca_ou_associacao,considerar_substituicao_ou_revisao_diagnostica,revisar_seguranca_reducao_ou_troca,nao_afirmar_otimizacao_sem_faixa_por_quadro_cadastrada,"EMA. Valdoxan — Summary of Product Characteristics; bula profissional aprovada pela Anvisa.; STAHL-MEC; GG.; EMA, Valdoxan SmPC; Stahl, Essential Psychopharmacology, 5ª ed.; Goodman & Gilman, 14ª ed.; DM:PENDENTE_PESQUISAR",source_reference_mapped_pending_formal_review,"Motor 2 cruza receita atual, dose-efeito e faixa por quadro. Uso para suporte a decisao medica; nao prescritivo."
agomelatina,Agomelatina,Atipico antidepressivo,Anorexia nervosa,bulimia_anorexia,"50 mg à noite: mesmo mecanismo, com maior exposição; não surge um novo perfil farmacológico. (DM/EMA/ANVISA/ST-E/GG/PENDENTE)",50,50,"sono, humor",SEM_MUDANCA_QUALITATIVA_COMPROVADA. (DM/EMA/ANVISA/ST-E/GG/PENDENTE),SEM_MUDANCA_QUALITATIVA_COMPROVADA. (DM/EMA/ANVISA/ST-E/GG/PENDENTE),nao cadastrado,,,TM/Aba 1 consultada; par medicamento-quadro nao cadastrado,considerar_otimizacao_de_dose_ate_faixa_por_quadro,revisar_alvo_residual_tempo_adesao_e_considerar_troca_ou_associacao,considerar_substituicao_ou_revisao_diagnostica,revisar_seguranca_reducao_ou_troca,nao_afirmar_otimizacao_sem_faixa_por_quadro_cadastrada,"EMA. Valdoxan — Summary of Product Characteristics; bula profissional aprovada pela Anvisa.; STAHL-MEC; GG.; EMA, Valdoxan SmPC; Stahl, Essential Psychopharmacology, 5ª ed.; Goodman & Gilman, 14ª ed.; DM:PENDENTE_PESQUISAR",source_reference_mapped_pending_formal_review,"Motor 2 cruza receita atual, dose-efeito e faixa por quadro. Uso para suporte a decisao medica; nao prescritivo."
agomelatina,Agomelatina,Atipico antidepressivo,TAG,TAG,"O aumento para 50 mg deve ser acompanhado com atenção à função hepática, pois a dose maior eleva o risco de aumento das transaminases. (DM/EMA/ANVISA/ST-E/GG/PENDENTE)",50,50,"sono, humor",SEM_MUDANCA_QUALITATIVA_COMPROVADA. (DM/EMA/ANVISA/ST-E/GG/PENDENTE),SEM_MUDANCA_QUALITATIVA_COMPROVADA. (DM/EMA/ANVISA/ST-E/GG/PENDENTE),25-50 (TM/T1),25,50,TM/Aba 1/TAG,considerar_otimizacao_de_dose_ate_faixa_por_quadro,revisar_alvo_residual_tempo_adesao_e_considerar_troca_ou_associacao,considerar_substituicao_ou_revisao_diagnostica,revisar_seguranca_reducao_ou_troca,nao_afirmar_otimizacao_sem_faixa_por_quadro_cadastrada,"EMA. Valdoxan — Summary of Product Characteristics; bula profissional aprovada pela Anvisa.; STAHL-MEC; GG.; EMA, Valdoxan SmPC; Stahl, Essential Psychopharmacology, 5ª ed.; Goodman & Gilman, 14ª ed.; DM:PENDENTE_PESQUISAR",source_reference_mapped_pending_formal_review,"Motor 2 cruza receita atual, dose-efeito e faixa por quadro. Uso para suporte a decisao medica; nao prescritivo."
agomelatina,Agomelatina,Atipico antidepressivo,depressao melancolica,depressao_melancolica,"O aumento para 50 mg deve ser acompanhado com atenção à função hepática, pois a dose maior eleva o risco de aumento das transaminases. (DM/EMA/ANVISA/ST-E/GG/PENDENTE)",50,50,"sono, humor",SEM_MUDANCA_QUALITATIVA_COMPROVADA. (DM/EMA/ANVISA/ST-E/GG/PENDENTE),SEM_MUDANCA_QUALITATIVA_COMPROVADA. (DM/EMA/ANVISA/ST-E/GG/PENDENTE),25-50 (TM/T1),25,50,TM/Aba 1/depressao melancolica,considerar_otimizacao_de_dose_ate_faixa_por_quadro,revisar_alvo_residual_tempo_adesao_e_considerar_troca_ou_associacao,considerar_substituicao_ou_revisao_diagnostica,revisar_seguranca_reducao_ou_troca,nao_afirmar_otimizacao_sem_faixa_por_quadro_cadastrada,"EMA. Valdoxan — Summary of Product Characteristics; bula profissional aprovada pela Anvisa.; STAHL-MEC; GG.; EMA, Valdoxan SmPC; Stahl, Essential Psychopharmacology, 5ª ed.; Goodman & Gilman, 14ª ed.; DM:PENDENTE_PESQUISAR",source_reference_mapped_pending_formal_review,"Motor 2 cruza receita atual, dose-efeito e faixa por quadro. Uso para suporte a decisao medica; nao prescritivo."
agomelatina,Agomelatina,Atipico antidepressivo,depressao com agitacao/agressividade,depressao_com_agitacao_agressiva,"O aumento para 50 mg deve ser acompanhado com atenção à função hepática, pois a dose maior eleva o risco de aumento das transaminases. (DM/EMA/ANVISA/ST-E/GG/PENDENTE)",50,50,"sono, humor",SEM_MUDANCA_QUALITATIVA_COMPROVADA. (DM/EMA/ANVISA/ST-E/GG/PENDENTE),SEM_MUDANCA_QUALITATIVA_COMPROVADA. (DM/EMA/ANVISA/ST-E/GG/PENDENTE),25-50 (TM/T1),25,50,TM/Aba 1/depressao com agitacao/agressividade,considerar_otimizacao_de_dose_ate_faixa_por_quadro,revisar_alvo_residual_tempo_adesao_e_considerar_troca_ou_associacao,considerar_substituicao_ou_revisao_diagnostica,revisar_seguranca_reducao_ou_troca,nao_afirmar_otimizacao_sem_faixa_por_quadro_cadastrada,"EMA. Valdoxan — Summary of Product Characteristics; bula profissional aprovada pela Anvisa.; STAHL-MEC; GG.; EMA, Valdoxan SmPC; Stahl, Essential Psychopharmacology, 5ª ed.; Goodman & Gilman, 14ª ed.; DM:PENDENTE_PESQUISAR",source_reference_mapped_pending_formal_review,"Motor 2 cruza receita atual, dose-efeito e faixa por quadro. Uso para suporte a decisao medica; nao prescritivo."
agomelatina,Agomelatina,Atipico antidepressivo,depressao atipica,depressao_atipica,"O aumento para 50 mg deve ser acompanhado com atenção à função hepática, pois a dose maior eleva o risco de aumento das transaminases. (DM/EMA/ANVISA/ST-E/GG/PENDENTE)",50,50,"sono, humor",SEM_MUDANCA_QUALITATIVA_COMPROVADA. (DM/EMA/ANVISA/ST-E/GG/PENDENTE),SEM_MUDANCA_QUALITATIVA_COMPROVADA. (DM/EMA/ANVISA/ST-E/GG/PENDENTE),25 (TM/T1),25,25,TM/Aba 1/depressao atipica,considerar_otimizacao_de_dose_ate_faixa_por_quadro,revisar_alvo_residual_tempo_adesao_e_considerar_troca_ou_associacao,considerar_substituicao_ou_revisao_diagnostica,revisar_seguranca_reducao_ou_troca,nao_afirmar_otimizacao_sem_faixa_por_quadro_cadastrada,"EMA. Valdoxan — Summary of Product Characteristics; bula profissional aprovada pela Anvisa.; STAHL-MEC; GG.; EMA, Valdoxan SmPC; Stahl, Essential Psychopharmacology, 5ª ed.; Goodman & Gilman, 14ª ed.; DM:PENDENTE_PESQUISAR",source_reference_mapped_pending_formal_review,"Motor 2 cruza receita atual, dose-efeito e faixa por quadro. Uso para suporte a decisao medica; nao prescritivo."
agomelatina,Agomelatina,Atipico antidepressivo,Transtorno depressivo maior,depressao_ansiosa,"O aumento para 50 mg deve ser acompanhado com atenção à função hepática, pois a dose maior eleva o risco de aumento das transaminases. (DM/EMA/ANVISA/ST-E/GG/PENDENTE)",50,50,"sono, humor",SEM_MUDANCA_QUALITATIVA_COMPROVADA. (DM/EMA/ANVISA/ST-E/GG/PENDENTE),SEM_MUDANCA_QUALITATIVA_COMPROVADA. (DM/EMA/ANVISA/ST-E/GG/PENDENTE),nao cadastrado,,,TM/Aba 1 consultada; par medicamento-quadro nao cadastrado,considerar_otimizacao_de_dose_ate_faixa_por_quadro,revisar_alvo_residual_tempo_adesao_e_considerar_troca_ou_associacao,considerar_substituicao_ou_revisao_diagnostica,revisar_seguranca_reducao_ou_troca,nao_afirmar_otimizacao_sem_faixa_por_quadro_cadastrada,"EMA. Valdoxan — Summary of Product Characteristics; bula profissional aprovada pela Anvisa.; STAHL-MEC; GG.; EMA, Valdoxan SmPC; Stahl, Essential Psychopharmacology, 5ª ed.; Goodman & Gilman, 14ª ed.; DM:PENDENTE_PESQUISAR",source_reference_mapped_pending_formal_review,"Motor 2 cruza receita atual, dose-efeito e faixa por quadro. Uso para suporte a decisao medica; nao prescritivo."
agomelatina,Agomelatina,Atipico antidepressivo,Anorexia nervosa,bulimia_anorexia,"O aumento para 50 mg deve ser acompanhado com atenção à função hepática, pois a dose maior eleva o risco de aumento das transaminases. (DM/EMA/ANVISA/ST-E/GG/PENDENTE)",50,50,"sono, humor",SEM_MUDANCA_QUALITATIVA_COMPROVADA. (DM/EMA/ANVISA/ST-E/GG/PENDENTE),SEM_MUDANCA_QUALITATIVA_COMPROVADA. (DM/EMA/ANVISA/ST-E/GG/PENDENTE),nao cadastrado,,,TM/Aba 1 consultada; par medicamento-quadro nao cadastrado,considerar_otimizacao_de_dose_ate_faixa_por_quadro,revisar_alvo_residual_tempo_adesao_e_considerar_troca_ou_associacao,considerar_substituicao_ou_revisao_diagnostica,revisar_seguranca_reducao_ou_troca,nao_afirmar_otimizacao_sem_faixa_por_quadro_cadastrada,"EMA. Valdoxan — Summary of Product Characteristics; bula profissional aprovada pela Anvisa.; STAHL-MEC; GG.; EMA, Valdoxan SmPC; Stahl, Essential Psychopharmacology, 5ª ed.; Goodman & Gilman, 14ª ed.; DM:PENDENTE_PESQUISAR",source_reference_mapped_pending_formal_review,"Motor 2 cruza receita atual, dose-efeito e faixa por quadro. Uso para suporte a decisao medica; nao prescritivo."
amitriptilina,Amitriptilina,Triciclico,TAG,TAG,"10–25 mg/dia: predominam, clinicamente, sedação, efeito anticolinérgico e utilização para dor/sono; não é necessariamente dose antidepressiva. (DM/ST-E/GG/Maudsley)",10,25,"humor, dor, sono","EFEITO_CLINICO_DEPENDENTE_DA_DOSE, sem afirmar mudança absoluta de receptor. (DM/ST-E/GG/Maudsley)","EFEITO_CLINICO_DEPENDENTE_DA_DOSE, sem afirmar mudança absoluta de receptor. (DM/ST-E/GG/Maudsley)",50-150 (TM/T1),50,150,TM/Aba 1/TAG,considerar_otimizacao_de_dose_ate_faixa_por_quadro,revisar_alvo_residual_tempo_adesao_e_considerar_troca_ou_associacao,considerar_substituicao_ou_revisao_diagnostica,revisar_seguranca_reducao_ou_troca,nao_afirmar_otimizacao_sem_faixa_por_quadro_cadastrada,"DailyMed, Amitriptyline Hydrochloride Tablets; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.; Maudsley Prescribing Guidelines.; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=35aa7ab3-321a-97f7-e063-6294a90a91e2",source_reference_mapped_pending_formal_review,"Motor 2 cruza receita atual, dose-efeito e faixa por quadro. Uso para suporte a decisao medica; nao prescritivo."
amitriptilina,Amitriptilina,Triciclico,panico,panico,"10–25 mg/dia: predominam, clinicamente, sedação, efeito anticolinérgico e utilização para dor/sono; não é necessariamente dose antidepressiva. (DM/ST-E/GG/Maudsley)",10,25,"humor, dor, sono","EFEITO_CLINICO_DEPENDENTE_DA_DOSE, sem afirmar mudança absoluta de receptor. (DM/ST-E/GG/Maudsley)","EFEITO_CLINICO_DEPENDENTE_DA_DOSE, sem afirmar mudança absoluta de receptor. (DM/ST-E/GG/Maudsley)",75-150 (TM/T1),75,150,TM/Aba 1/panico,considerar_otimizacao_de_dose_ate_faixa_por_quadro,revisar_alvo_residual_tempo_adesao_e_considerar_troca_ou_associacao,considerar_substituicao_ou_revisao_diagnostica,revisar_seguranca_reducao_ou_troca,nao_afirmar_otimizacao_sem_faixa_por_quadro_cadastrada,"DailyMed, Amitriptyline Hydrochloride Tablets; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.; Maudsley Prescribing Guidelines.; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=35aa7ab3-321a-97f7-e063-6294a90a91e2",source_reference_mapped_pending_formal_review,"Motor 2 cruza receita atual, dose-efeito e faixa por quadro. Uso para suporte a decisao medica; nao prescritivo."
amitriptilina,Amitriptilina,Triciclico,fobias,fobias,"10–25 mg/dia: predominam, clinicamente, sedação, efeito anticolinérgico e utilização para dor/sono; não é necessariamente dose antidepressiva. (DM/ST-E/GG/Maudsley)",10,25,"humor, dor, sono","EFEITO_CLINICO_DEPENDENTE_DA_DOSE, sem afirmar mudança absoluta de receptor. (DM/ST-E/GG/Maudsley)","EFEITO_CLINICO_DEPENDENTE_DA_DOSE, sem afirmar mudança absoluta de receptor. (DM/ST-E/GG/Maudsley)",75-150 (TM/T1),75,150,TM/Aba 1/fobias,considerar_otimizacao_de_dose_ate_faixa_por_quadro,revisar_alvo_residual_tempo_adesao_e_considerar_troca_ou_associacao,considerar_substituicao_ou_revisao_diagnostica,revisar_seguranca_reducao_ou_troca,nao_afirmar_otimizacao_sem_faixa_por_quadro_cadastrada,"DailyMed, Amitriptyline Hydrochloride Tablets; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.; Maudsley Prescribing Guidelines.; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=35aa7ab3-321a-97f7-e063-6294a90a91e2",source_reference_mapped_pending_formal_review,"Motor 2 cruza receita atual, dose-efeito e faixa por quadro. Uso para suporte a decisao medica; nao prescritivo."
