medication_id,medication_name,drug_class,backlog_rows,known_fields,pending_fields,not_registered_fields,source_reference,source_status,next_research_need
desipramina,Desipramina,Triciclico,1,drug_class | dose_band | dominant_effect | pharmacological_target | receptor_or_mechanism | anxiety_score | sleep_score | mood_score | energy_score | sedation_risk | source_reference,cognition_score,weight_gain_risk | extrapyramidal_risk,"FDA/Norpramin Prescribing Information; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.; Maudsley.; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=a3b4b25d-0ddb-4531-badb-f1ba3168ac07",official_label_located_pending_formal_review,"extrair secao, trecho e campo especifico da fonte oficial antes de promover para validated_for_table"
desvenlafaxina,Desvenlafaxina,SNRI,1,drug_class | dose_band | dominant_effect | pharmacological_target | receptor_or_mechanism | anxiety_score | sleep_score | mood_score | energy_score | source_reference,cognition_score,sedation_risk | weight_gain_risk | extrapyramidal_risk,"FDA/Pristiq Prescribing Information; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=0f43610c-f290-46ea-d186-4f998ed99fce",official_label_located_pending_formal_review,"extrair secao, trecho e campo especifico da fonte oficial antes de promover para validated_for_table"
divalproato,Divalproato,Anticonvulsivante/estabilizador,1,drug_class | dose_band | dominant_effect | pharmacological_target | receptor_or_mechanism | anxiety_score | sleep_score | mood_score | energy_score | sedation_risk | source_reference,cognition_score,weight_gain_risk | extrapyramidal_risk,"FDA/Depakote Prescribing Information; CANMAT/ISBD Bipolar Guidelines; Maudsley; Goodman & Gilman, 14ª ed.; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=4ef6c5fd-42b2-4419-9b5a-e6d63571e3a0",official_label_located_pending_formal_review,"extrair secao, trecho e campo especifico da fonte oficial antes de promover para validated_for_table"
dosulepina,Dosulepina,Triciclico,1,drug_class | dose_band | dominant_effect | pharmacological_target | receptor_or_mechanism | anxiety_score | sleep_score | mood_score | energy_score | sedation_risk | source_reference,cognition_score,weight_gain_risk | extrapyramidal_risk,"UK SmPC, Dosulepin Hydrochloride; British National Formulary; NICE Depression Guideline; Goodman & Gilman, 14ª ed.; DM:PENDENTE_PESQUISAR",source_reference_mapped_pending_formal_review,"validar fonte, secao, trecho e revisao medica final antes de promover para validated_for_table"
doxepina,Doxepina,Triciclico,1,drug_class | dose_band | dominant_effect | pharmacological_target | receptor_or_mechanism | anxiety_score | sleep_score | mood_score | energy_score | sedation_risk | source_reference,cognition_score,weight_gain_risk | extrapyramidal_risk,"FDA/Silenor Prescribing Information; DailyMed, Doxepin Hydrochloride Capsules; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=c42333f8-1add-4f33-9458-6fe4436874a1",official_label_located_pending_formal_review,"extrair secao, trecho e campo especifico da fonte oficial antes de promover para validated_for_table"
duloxetina,Duloxetina,SNRI,1,drug_class | dose_band | dominant_effect | pharmacological_target | receptor_or_mechanism | anxiety_score | sleep_score | mood_score | energy_score | cognition_score | sedation_risk | weight_gain_risk | extrapyramidal_risk | source_reference,formal_source_review,,FDA_CYMBALTA; STAHL_ESSENTIAL; STAHL_PG; GOODMAN_GILMAN; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=569582d5-cb6d-735e-e063-6394a90abfb6,official_label_located_pending_formal_review,"extrair secao, trecho e campo especifico da fonte oficial antes de promover para validated_for_table"
escitalopram,Escitalopram,SSRI,1,drug_class | dose_band | dominant_effect | pharmacological_target | receptor_or_mechanism | anxiety_score | sleep_score | mood_score | energy_score | cognition_score | sedation_risk | weight_gain_risk | extrapyramidal_risk | source_reference,formal_source_review,,FDA_LEXAPRO; STAHL_ESSENTIAL; STAHL_PG; GOODMAN_GILMAN; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=1b2ec266-be5b-9265-e063-6294a90a10e3,official_label_located_pending_formal_review,"extrair secao, trecho e campo especifico da fonte oficial antes de promover para validated_for_table"
fenitoina,Fenitoina,Anticonvulsivante/estabilizador,1,drug_class | dose_band | dominant_effect | pharmacological_target | receptor_or_mechanism | anxiety_score | sleep_score | mood_score | energy_score | sedation_risk | source_reference,cognition_score,weight_gain_risk | extrapyramidal_risk,"FDA/Dilantin Prescribing Information; Goodman & Gilman, 14ª ed.; Maudsley Prescribing Guidelines.; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=7e467c02-49a0-4b62-b537-430fdfa4f10e",official_label_located_pending_formal_review,"extrair secao, trecho e campo especifico da fonte oficial antes de promover para validated_for_table"
fenobarbital,Fenobarbital,Anticonvulsivante/estabilizador,1,drug_class | dose_band | dominant_effect | pharmacological_target | receptor_or_mechanism | anxiety_score | sleep_score | mood_score | energy_score | sedation_risk | source_reference,cognition_score,weight_gain_risk | extrapyramidal_risk,"DailyMed, Phenobarbital; Goodman & Gilman, 14ª ed.; Maudsley.; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=fa09b4f2-edb0-4594-a2d2-b16f7b9686b4",official_label_located_pending_formal_review,"extrair secao, trecho e campo especifico da fonte oficial antes de promover para validated_for_table"
fluoxetina,Fluoxetina,SSRI,1,drug_class | dose_band | dominant_effect | pharmacological_target | receptor_or_mechanism | anxiety_score | sleep_score | mood_score | energy_score | cognition_score | sedation_risk | weight_gain_risk | extrapyramidal_risk | source_reference,formal_source_review,,FDA_PROZAC; STAHL_ESSENTIAL; STAHL_PG; GOODMAN_GILMAN; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=77b6ae48-8e3a-42e6-9b5a-aeed750861e8,official_label_located_pending_formal_review,"extrair secao, trecho e campo especifico da fonte oficial antes de promover para validated_for_table"
fluvoxamina,Fluvoxamina,SSRI/serotonergico,1,drug_class | dose_band | dominant_effect | pharmacological_target | receptor_or_mechanism | anxiety_score | sleep_score | mood_score | energy_score | source_reference,cognition_score,sedation_risk | weight_gain_risk | extrapyramidal_risk,"DailyMed, Fluvoxamine Maleate; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.; APA/NICE OCD Guidelines.; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=0b107225-ed5a-4461-9184-f3f2bad1892f",official_label_located_pending_formal_review,"extrair secao, trecho e campo especifico da fonte oficial antes de promover para validated_for_table"
haloperidol,Haloperidol,Antipsicotico tipico,1,drug_class | dominant_effect | pharmacological_target | receptor_or_mechanism | anxiety_score | sleep_score | mood_score | energy_score | sedation_risk | extrapyramidal_risk | source_reference,dose_band | cognition_score,weight_gain_risk,"FDA/Haldol Prescribing Information; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.; Maudsley.; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=e2eed126-cb82-42b1-9b48-9cbeb6873b50",official_label_located_pending_formal_review,"extrair secao, trecho e campo especifico da fonte oficial antes de promover para validated_for_table"
imipramina,Imipramina,Triciclico,1,drug_class | dose_band | dominant_effect | pharmacological_target | receptor_or_mechanism | anxiety_score | sleep_score | mood_score | energy_score | sedation_risk | source_reference,cognition_score,weight_gain_risk | extrapyramidal_risk,"FDA/Tofranil Prescribing Information; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.; Maudsley.; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=51d3b181-0d15-4782-a966-feb137972b18",official_label_located_pending_formal_review,"extrair secao, trecho e campo especifico da fonte oficial antes de promover para validated_for_table"
lamotrigina,Lamotrigina,Estabilizador de humor,1,drug_class | dose_band | dominant_effect | pharmacological_target | anxiety_score | sleep_score | mood_score | energy_score | cognition_score | sedation_risk | weight_gain_risk | extrapyramidal_risk | source_reference,receptor_or_mechanism,,"FDA_LAMICTAL; CANMAT_ISBD; MAUDSLEY;
STAHL_ESSENTIAL; GOODMAN_GILMAN; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=55f41c7e-03a6-b84c-e063-6294a90a7d82",official_label_located_pending_formal_review,"extrair secao, trecho e campo especifico da fonte oficial antes de promover para validated_for_table"
levomepromazina,Levomepromazina,Antipsicotico tipico,1,drug_class | dose_band | dominant_effect | pharmacological_target | receptor_or_mechanism | anxiety_score | sleep_score | mood_score | energy_score | sedation_risk | extrapyramidal_risk | source_reference,cognition_score,weight_gain_risk,"bula profissional Anvisa, Levomepromazina; European/UK SmPC; Stahl, 5ª ed.; Maudsley.; DM:PENDENTE_PESQUISAR",source_reference_mapped_pending_formal_review,"validar fonte, secao, trecho e revisao medica final antes de promover para validated_for_table"
litio,Litio,Estabilizador de humor,1,drug_class | dose_band | dominant_effect | pharmacological_target | receptor_or_mechanism | anxiety_score | sleep_score | mood_score | energy_score | cognition_score | sedation_risk | weight_gain_risk | extrapyramidal_risk | source_reference,formal_source_review,,"FDA_LITHIUM; CANMAT_ISBD; MAUDSLEY;
STAHL_ESSENTIAL; GOODMAN_GILMAN; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=049902a9-3af1-4863-994e-15f36e7a9793",official_label_located_pending_formal_review,"extrair secao, trecho e campo especifico da fonte oficial antes de promover para validated_for_table"
lurasidona,Lurasidona,Antipsicotico atipico,1,drug_class | dose_band | dominant_effect | pharmacological_target | receptor_or_mechanism | anxiety_score | sleep_score | mood_score | energy_score | cognition_score | sedation_risk | weight_gain_risk | extrapyramidal_risk | source_reference,formal_source_review,,"FDA_LATUDA; STAHL_ESSENTIAL; STAHL_PG;
GOODMAN_GILMAN; MAUDSLEY; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=b3e9cc86-0c5c-444f-ab57-f4d1a6865035",official_label_located_pending_formal_review,"extrair secao, trecho e campo especifico da fonte oficial antes de promover para validated_for_table"
maprotilina,Maprotilina,Triciclico,1,drug_class | dose_band | dominant_effect | pharmacological_target | receptor_or_mechanism | anxiety_score | sleep_score | mood_score | energy_score | sedation_risk | source_reference,cognition_score,weight_gain_risk | extrapyramidal_risk,"Maprotiline/Ludiomil Product Information; Goodman & Gilman, 14ª ed.; Stahl, 5ª ed.; Maudsley.; DM:PENDENTE_PESQUISAR",source_reference_mapped_pending_formal_review,"validar fonte, secao, trecho e revisao medica final antes de promover para validated_for_table"
mianserina,Mianserina,Tetraciclico,1,drug_class | dose_band | pharmacological_target | anxiety_score | sleep_score | mood_score | energy_score | sedation_risk | source_reference,dominant_effect | receptor_or_mechanism | cognition_score,weight_gain_risk | extrapyramidal_risk,"Mianserin Summary of Product Characteristics; British National Formulary; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.; DM:PENDENTE_PESQUISAR",source_reference_mapped_pending_formal_review,"validar fonte, secao, trecho e revisao medica final antes de promover para validated_for_table"
mirtazapina,Mirtazapina,NaSSA,1,drug_class | dose_band | dominant_effect | pharmacological_target | receptor_or_mechanism | anxiety_score | sleep_score | mood_score | energy_score | cognition_score | sedation_risk | weight_gain_risk | extrapyramidal_risk | source_reference,formal_source_review,,FDA_REMERON; STAHL_ESSENTIAL; STAHL_PG; GOODMAN_GILMAN; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=2a0689ae-5650-42d1-ac9d-56dd2b467727,official_label_located_pending_formal_review,"extrair secao, trecho e campo especifico da fonte oficial antes de promover para validated_for_table"
naltrexona,Naltrexona,Dependencia quimica,1,drug_class | dose_band | dominant_effect | pharmacological_target | receptor_or_mechanism | anxiety_score | sleep_score | mood_score | energy_score | source_reference,cognition_score,sedation_risk | weight_gain_risk | extrapyramidal_risk,"FDA/Revia Prescribing Information; APA Guideline for Alcohol Use Disorder; NICE Alcohol-use Disorders Guideline; Goodman & Gilman, 14ª ed.; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=56055980-d23b-ec7d-e063-6394a90a9cc2",official_label_located_pending_formal_review,"extrair secao, trecho e campo especifico da fonte oficial antes de promover para validated_for_table"
nortriptilina,Nortriptilina,Triciclico,1,drug_class | dose_band | dominant_effect | pharmacological_target | receptor_or_mechanism | anxiety_score | sleep_score | mood_score | energy_score | sedation_risk | source_reference,cognition_score,weight_gain_risk | extrapyramidal_risk,"FDA/Pamelor Prescribing Information; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.; Maudsley.; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=aee2c1a1-d848-4c3b-8c6d-8a4f6ce94c28",official_label_located_pending_formal_review,"extrair secao, trecho e campo especifico da fonte oficial antes de promover para validated_for_table"
olanzapina,Olanzapina,Antipsicotico atipico,1,drug_class | dose_band | dominant_effect | pharmacological_target | receptor_or_mechanism | anxiety_score | sleep_score | mood_score | energy_score | cognition_score | sedation_risk | weight_gain_risk | extrapyramidal_risk | source_reference,formal_source_review,,"FDA_ZYPREXA; STAHL_ESSENTIAL; STAHL_PG;
GOODMAN_GILMAN; MAUDSLEY; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=0ecbf540-572e-4ca4-b694-18ca1cd1c194",official_label_located_pending_formal_review,"extrair secao, trecho e campo especifico da fonte oficial antes de promover para validated_for_table"
oxcarbazepina,Oxcarbazepina,Anticonvulsivante/estabilizador,1,drug_class | dose_band | dominant_effect | pharmacological_target | receptor_or_mechanism | anxiety_score | sleep_score | mood_score | energy_score | sedation_risk | source_reference,cognition_score,weight_gain_risk | extrapyramidal_risk,"FDA/Trileptal Prescribing Information; CANMAT/ISBD Bipolar Guidelines; Goodman & Gilman, 14ª ed.; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=867eaf99-3e31-4f75-bfae-2898804d956d",official_label_located_pending_formal_review,"extrair secao, trecho e campo especifico da fonte oficial antes de promover para validated_for_table"
paroxetina,Paroxetina,SSRI/serotonergico,1,drug_class | dose_band | dominant_effect | pharmacological_target | receptor_or_mechanism | anxiety_score | sleep_score | mood_score | energy_score | source_reference,cognition_score,sedation_risk | weight_gain_risk | extrapyramidal_risk,"FDA/Paxil Prescribing Information; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.; Maudsley.; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=118320de-0632-4139-8b13-7428b41da0ac",official_label_located_pending_formal_review,"extrair secao, trecho e campo especifico da fonte oficial antes de promover para validated_for_table"
quetiapina,Quetiapina,Antipsicotico atipico,1,drug_class | dose_band | dominant_effect | pharmacological_target | receptor_or_mechanism | anxiety_score | sleep_score | mood_score | energy_score | cognition_score | sedation_risk | weight_gain_risk | extrapyramidal_risk | source_reference,formal_source_review,,"FDA_SEROQUEL; FDA_SEROQUEL_XR;
STAHL_ESSENTIAL; STAHL_PG; GOODMAN_GILMAN; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=5643d339-50ea-405d-e063-6394a90a3b70",official_label_located_pending_formal_review,"extrair secao, trecho e campo especifico da fonte oficial antes de promover para validated_for_table"
risperidona,Risperidona,Antipsicotico atipico,1,drug_class | dose_band | dominant_effect | pharmacological_target | receptor_or_mechanism | anxiety_score | sleep_score | mood_score | energy_score | cognition_score | sedation_risk | weight_gain_risk | extrapyramidal_risk | source_reference,formal_source_review,,"FDA_RISPERDAL; STAHL_ESSENTIAL; STAHL_PG;
GOODMAN_GILMAN; MAUDSLEY; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=5643c32b-310e-4888-e063-6394a90ab62f",official_label_located_pending_formal_review,"extrair secao, trecho e campo especifico da fonte oficial antes de promover para validated_for_table"
sertralina,Sertralina,SSRI,1,drug_class | dose_band | dominant_effect | pharmacological_target | receptor_or_mechanism | anxiety_score | sleep_score | mood_score | energy_score | cognition_score | sedation_risk | weight_gain_risk | extrapyramidal_risk | source_reference,formal_source_review,,"FDA_ZOLOFT; STAHL_ESSENTIAL; STAHL_PG; GOODMAN_GILMAN; Zoloft Prescribing Information;
Stahl’s Essential Psychopharmacology;
Stahl’s Prescriber’s Guide;
Goodman & Gilman.; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=4ddfd698-3d47-fc0e-e063-6394a90accec",official_label_located_pending_formal_review,"extrair secao, trecho e campo especifico da fonte oficial antes de promover para validated_for_table"
tioridazina,Tioridazina,Antipsicotico tipico,1,drug_class | dose_band | dominant_effect | pharmacological_target | receptor_or_mechanism | anxiety_score | sleep_score | mood_score | energy_score | sedation_risk | extrapyramidal_risk | source_reference,cognition_score,weight_gain_risk,"FDA/Mellaril Prescribing Information; bula profissional Anvisa; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=1fd16a99-e856-4a37-9dae-c443714fac14",official_label_located_pending_formal_review,"extrair secao, trecho e campo especifico da fonte oficial antes de promover para validated_for_table"
topiramato,Topiramato,Anticonvulsivante/estabilizador,1,drug_class | dose_band | pharmacological_target | anxiety_score | sleep_score | mood_score | energy_score | sedation_risk | source_reference,dominant_effect | receptor_or_mechanism | cognition_score,weight_gain_risk | extrapyramidal_risk,"FDA/Topamax Prescribing Information; CANMAT/ISBD Bipolar Guidelines; Goodman & Gilman, 14ª ed.; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=46a305cb-ab73-0bca-e063-6294a90a9b85",official_label_located_pending_formal_review,"extrair secao, trecho e campo especifico da fonte oficial antes de promover para validated_for_table"
trazodona,Trazodona,SARI,1,drug_class | dose_band | dominant_effect | pharmacological_target | receptor_or_mechanism | anxiety_score | sleep_score | mood_score | energy_score | sedation_risk | source_reference,cognition_score,weight_gain_risk | extrapyramidal_risk,"DailyMed, Trazodone Hydrochloride; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.; revisão farmacológica sobre trazodona em baixa e alta dose.; FDA/DailyMed Trazodone; Stahl, 5ª ed.; revisão farmacológica de trazodona.; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=5bc5f266-6c0e-4b9a-b6e0-ea694928b948",official_label_located_pending_formal_review,"extrair secao, trecho e campo especifico da fonte oficial antes de promover para validated_for_table"
valproato,Valproato,Estabilizador de humor,1,drug_class | dose_band | dominant_effect | pharmacological_target | receptor_or_mechanism | anxiety_score | sleep_score | mood_score | energy_score | cognition_score | sedation_risk | weight_gain_risk | extrapyramidal_risk | source_reference,formal_source_review,,"FDA_VALPROIC_ACID; FDA_DEPAKOTE;
CANMAT_ISBD; MAUDSLEY; GOODMAN_GILMAN; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=4b619f73-44e5-4a99-b425-a96cb2228c87",official_label_located_pending_formal_review,"extrair secao, trecho e campo especifico da fonte oficial antes de promover para validated_for_table"
venlafaxina,Venlafaxina,SNRI,1,drug_class | dose_band | dominant_effect | pharmacological_target | receptor_or_mechanism | anxiety_score | sleep_score | mood_score | energy_score | cognition_score | sedation_risk | weight_gain_risk | extrapyramidal_risk | source_reference,formal_source_review,,FDA_EFFEXOR; STAHL_ESSENTIAL; STAHL_PG; GOODMAN_GILMAN; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=38fd2c97-cd30-2f7d-e054-00144ff8d46c,official_label_located_pending_formal_review,"extrair secao, trecho e campo especifico da fonte oficial antes de promover para validated_for_table"
venlafaxina_xr,Venlafaxina XR,SNRI,1,drug_class | dose_band | dominant_effect | pharmacological_target | receptor_or_mechanism | anxiety_score | sleep_score | mood_score | energy_score | source_reference,cognition_score,sedation_risk | weight_gain_risk | extrapyramidal_risk,"FDA/Effexor XR Prescribing Information; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.; estudos PET SERT/NET.; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=38fd2c97-cd30-2f7d-e054-00144ff8d46c",official_label_located_pending_formal_review,"extrair secao, trecho e campo especifico da fonte oficial antes de promover para validated_for_table"
vilazodona,Vilazodona,SSRI/serotonergico,1,drug_class | dose_band | dominant_effect | pharmacological_target | receptor_or_mechanism | anxiety_score | sleep_score | mood_score | energy_score | source_reference,cognition_score,sedation_risk | weight_gain_risk | extrapyramidal_risk,"FDA/Viibryd Prescribing Information; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=4c55ccfb-c4cf-11df-851a-0800200c9a66",official_label_located_pending_formal_review,"extrair secao, trecho e campo especifico da fonte oficial antes de promover para validated_for_table"
vortioxetina,Vortioxetina,SSRI/serotonergico,1,drug_class | dose_band | dominant_effect | pharmacological_target | receptor_or_mechanism | anxiety_score | sleep_score | mood_score | energy_score | source_reference,cognition_score,sedation_risk | weight_gain_risk | extrapyramidal_risk,"FDA/Trintellix Prescribing Information; EMA/Brintellix SmPC; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=cb1e9df4-dd74-4073-9d78-bb55593dd000",official_label_located_pending_formal_review,"extrair secao, trecho e campo especifico da fonte oficial antes de promover para validated_for_table"
alprazolam,Alprazolam,Benzodiazepinico,1,drug_class | dose_band | pharmacological_target | receptor_or_mechanism | anxiety_score | sleep_score | mood_score | energy_score | source_reference,dominant_effect | cognition_score | sedation_risk | weight_gain_risk | extrapyramidal_risk,,FDA/DailyMed Xanax/alprazolam; bula Anvisa; Stahl; Goodman & Gilman; Maudsley; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=fc5fe795-6b41-aecf-e053-6394a90af562,official_label_located_pending_formal_review,"extrair secao, trecho e campo especifico da fonte oficial antes de promover para validated_for_table"
