case,kind,axis,condition,medication,candidate,quadro,faixa,range_kind,dose,leitura_da_dose,status
8,prescription,sono/sedacao,Insonia,Mirtazapina,yes,TAG,15-45 (TM/T1),quadro,15.0,yes,ok
9,prescription,humor/TEPT,Transtorno de ansiedade generalizada,Desvenlafaxina,yes,transtorno de estresse,50-100 (TM/T1),quadro,100.0,yes,ok
9,prescription,sono/sedacao,Insonia,Mirtazapina,yes,TAG,15-45 (TM/T1),quadro,15.0,yes,ok
9,prescription,ansiedade/resgate,Transtorno bipolar - manutencao,Clonazepam,yes,Transtorno do panico,"0,5-1 mg/dia (DM)",quadro,0.75,yes,ok
9,prescription,substancias/craving,Dor neuropatica ou sindromes dolorosas,Buprenorfina,yes,Transtorno por uso de opioides,Inducao deve considerar tipo e momento do ultimo opioide. Manutencao comum 8-24 mg/dia sublingual; formulacoes injetaveis mensais possuem esquemas proprios. (DM/ANVISA),dose_efeito,24.0,yes,ok
10,prescription,humor/TEPT,Dor neuropatica ou sindromes dolorosas,Venlafaxina,yes,TAG,75-225 (TM/T1),quadro,75.0,yes,ok
10,prescription,sono/sedacao,Esquizofrenia e transtornos psicoticos,Quetiapina,yes,Esquizofrenia e transtornos psicoticos,150-750 mg/dia (DM),quadro,450.0,yes,ok
10,prescription,ansiedade/resgate,Transtorno de ansiedade generalizada,Bromazepam,yes,Ansiedade aguda,6-18 mg/dia (HC),quadro,18.0,yes,ok
10,prescription,impulsividade/irritabilidade,Transtorno bipolar - manutencao,Divalproato,yes,Transtorno bipolar - mania/hipomania,750 mg/dia ate resposta; alvo serico 50-125 mcg/mL (DM),quadro,750.0,yes,ok
10,prescription,substancias/craving,Transtorno por uso de alcool,Acamprosato,yes,Transtorno por uso de alcool,Dose usual depende de peso e funcao renal. Esquema adulto frequente: 666 mg tres vezes/dia. Nao trata intoxicacao nem abstinencia aguda. (DM/ANVISA/APA/NICE/PENDENTE),dose_efeito,666.0,yes,ok
11,prescription,humor/TEPT,Dor neuropatica ou sindromes dolorosas,Venlafaxina XR,yes,TAG,75-225 (TM/T1),quadro,150.0,yes,ok
12,prescription,humor/TEPT,Dor neuropatica ou sindromes dolorosas,Duloxetina,yes,TAG,60-120 (TM/T1),quadro,120.0,yes,ok
12,prescription,ansiedade/resgate,Transtorno de ansiedade generalizada,Diazepam,yes,TAG,2-10 (TM/T1),quadro,2.0,yes,ok
13,prescription,humor/TEPT,Transtorno depressivo maior,Fluoxetina,yes,transtorno de estresse,20-60 (TM/T1),quadro,20.0,yes,ok
13,prescription,ansiedade/resgate,Transtorno de ansiedade generalizada,Lorazepam,yes,Ansiedade grave,"0,5-1 mg por tomada: ansiolitico. 1-2 mg por tomada: maior sedacao e controle de agitacao. Protocolos de catatonia exigem avaliacao e monitorizacao. (DM/ANVISA/Maudsley)",dose_efeito,1.25,yes,ok
13,prescription,sono/sedacao,Esquizofrenia e transtornos psicoticos,Quetiapina,yes,Esquizofrenia e transtornos psicoticos,150-750 mg/dia (DM),quadro,750.0,yes,ok
14,prescription,humor/TEPT,Transtorno de ansiedade generalizada,Sertralina,yes,transtorno de estresse,50-200 (TM/T1),quadro,125.0,yes,ok
14,prescription,sono/sedacao,Esquizofrenia e transtornos psicoticos,Quetiapina,yes,Esquizofrenia e transtornos psicoticos,150-750 mg/dia (DM),quadro,750.0,yes,ok
14,prescription,ansiedade/resgate,Transtorno bipolar - manutencao,Clonazepam,yes,Transtorno do panico,"0,5-1 mg/dia (DM)",quadro,0.5,yes,ok
14,prescription,substancias/craving,Transtorno por uso de alcool,Acamprosato,yes,Transtorno por uso de alcool,Dose usual depende de peso e funcao renal. Esquema adulto frequente: 666 mg tres vezes/dia. Nao trata intoxicacao nem abstinencia aguda. (DM/ANVISA/APA/NICE/PENDENTE),dose_efeito,666.0,yes,ok
15,prescription,humor/TEPT,Transtorno de ansiedade generalizada,Desvenlafaxina,yes,transtorno de estresse,50-100 (TM/T1),quadro,100.0,yes,ok
15,prescription,sono/sedacao,Insonia,Zolpidem,yes,Insonia,"5 mg a noite: menor exposicao. 5-10 mg a noite liberacao imediata: inducao do sono. Formulacao prolongada tem dose propria. Doses maiores aumentam amnesia, comportamentos complexos e prejuizo no dia seguinte. (DM/ANVISA)",dose_efeito,5.0,yes,ok
15,prescription,ansiedade/resgate,Transtorno de ansiedade generalizada,Bromazepam,yes,Ansiedade aguda,6-18 mg/dia (HC),quadro,12.0,yes,ok
15,prescription,impulsividade/irritabilidade,Transtorno bipolar - manutencao,Carbamazepina,yes,Transtorno bipolar - manutencao,200–400 mg/dia: início/titulação. (DM/GG/Maudsley/CANMAT/ISBD),dose_efeito,400.0,yes,ok
15,prescription,substancias/craving,Transtorno por uso de alcool,Naltrexona,yes,vicios,25-50 (TM/T1),quadro,25.0,yes,ok
16,prescription,humor/TEPT,Dor neuropatica ou sindromes dolorosas,Venlafaxina,yes,TAG,75-225 (TM/T1),quadro,75.0,yes,ok
17,prescription,humor/TEPT,Dor neuropatica ou sindromes dolorosas,Venlafaxina XR,yes,TAG,75-225 (TM/T1),quadro,150.0,yes,ok
17,prescription,ansiedade/resgate,Transtorno de ansiedade generalizada,Diazepam,yes,TAG,2-10 (TM/T1),quadro,10.0,yes,ok
18,prescription,humor/TEPT,Dor neuropatica ou sindromes dolorosas,Duloxetina,yes,TAG,60-120 (TM/T1),quadro,120.0,yes,ok
18,prescription,ansiedade/resgate,Transtorno de ansiedade generalizada,Lorazepam,yes,Ansiedade grave,"0,5-1 mg por tomada: ansiolitico. 1-2 mg por tomada: maior sedacao e controle de agitacao. Protocolos de catatonia exigem avaliacao e monitorizacao. (DM/ANVISA/Maudsley)",dose_efeito,0.5,yes,ok
18,prescription,sono/sedacao,Insonia,Zolpidem,yes,Insonia,"5 mg a noite: menor exposicao. 5-10 mg a noite liberacao imediata: inducao do sono. Formulacao prolongada tem dose propria. Doses maiores aumentam amnesia, comportamentos complexos e prejuizo no dia seguinte. (DM/ANVISA)",dose_efeito,7.5,yes,ok
19,prescription,humor/TEPT,Transtorno depressivo maior,Fluoxetina,yes,transtorno de estresse,20-60 (TM/T1),quadro,20.0,yes,ok
19,prescription,sono/sedacao,Insonia,Zolpidem,yes,Insonia,"5 mg a noite: menor exposicao. 5-10 mg a noite liberacao imediata: inducao do sono. Formulacao prolongada tem dose propria. Doses maiores aumentam amnesia, comportamentos complexos e prejuizo no dia seguinte. (DM/ANVISA)",dose_efeito,7.5,yes,ok
19,prescription,ansiedade/resgate,Transtorno bipolar - manutencao,Clonazepam,yes,Transtorno do panico,"0,5-1 mg/dia (DM)",quadro,1.0,yes,ok
19,prescription,substancias/craving,Transtorno por uso de alcool,Naltrexona,yes,vicios,25-50 (TM/T1),quadro,25.0,yes,ok
20,prescription,humor/TEPT,Transtorno de ansiedade generalizada,Sertralina,yes,transtorno de estresse,50-200 (TM/T1),quadro,125.0,yes,ok
20,prescription,sono/sedacao,Insonia,Trazodona,yes,Insonia,25-100 mg a noite (DM/ST-E/GG),quadro,100.0,yes,ok
20,prescription,ansiedade/resgate,Transtorno de ansiedade generalizada,Bromazepam,yes,Ansiedade aguda,6-18 mg/dia (HC),quadro,6.0,yes,ok
20,prescription,impulsividade/irritabilidade,Esquizofrenia e transtornos psicoticos,Quetiapina,yes,Esquizofrenia e transtornos psicoticos,150-750 mg/dia (DM),quadro,450.0,yes,ok
20,prescription,substancias/craving,Dor neuropatica ou sindromes dolorosas,Buprenorfina,yes,Transtorno por uso de opioides,Inducao deve considerar tipo e momento do ultimo opioide. Manutencao comum 8-24 mg/dia sublingual; formulacoes injetaveis mensais possuem esquemas proprios. (DM/ANVISA),dose_efeito,24.0,yes,ok
21,prescription,humor/TEPT,Transtorno de ansiedade generalizada,Desvenlafaxina,yes,transtorno de estresse,50-100 (TM/T1),quadro,100.0,yes,ok
22,prescription,humor/TEPT,Dor neuropatica ou sindromes dolorosas,Venlafaxina,yes,TAG,75-225 (TM/T1),quadro,75.0,yes,ok
22,prescription,ansiedade/resgate,Transtorno de ansiedade generalizada,Diazepam,yes,TAG,2-10 (TM/T1),quadro,6.0,yes,ok
23,prescription,humor/TEPT,Dor neuropatica ou sindromes dolorosas,Venlafaxina XR,yes,TAG,75-225 (TM/T1),quadro,150.0,yes,ok
23,prescription,ansiedade/resgate,Transtorno de ansiedade generalizada,Lorazepam,yes,Ansiedade grave,"0,5-1 mg por tomada: ansiolitico. 1-2 mg por tomada: maior sedacao e controle de agitacao. Protocolos de catatonia exigem avaliacao e monitorizacao. (DM/ANVISA/Maudsley)",dose_efeito,2.0,yes,ok
23,prescription,sono/sedacao,Insonia,Trazodona,yes,Insonia,25-100 mg a noite (DM/ST-E/GG),quadro,25.0,yes,ok
24,prescription,humor/TEPT,Dor neuropatica ou sindromes dolorosas,Duloxetina,yes,TAG,60-120 (TM/T1),quadro,120.0,yes,ok
24,prescription,sono/sedacao,Insonia,Trazodona,yes,Insonia,25-100 mg a noite (DM/ST-E/GG),quadro,25.0,yes,ok
24,prescription,ansiedade/resgate,Transtorno bipolar - manutencao,Clonazepam,yes,Transtorno do panico,"0,5-1 mg/dia (DM)",quadro,0.75,yes,ok
24,prescription,substancias/craving,Dor neuropatica ou sindromes dolorosas,Buprenorfina,yes,Transtorno por uso de opioides,Inducao deve considerar tipo e momento do ultimo opioide. Manutencao comum 8-24 mg/dia sublingual; formulacoes injetaveis mensais possuem esquemas proprios. (DM/ANVISA),dose_efeito,24.0,yes,ok
25,prescription,humor/TEPT,Transtorno depressivo maior,Fluoxetina,yes,transtorno de estresse,20-60 (TM/T1),quadro,20.0,yes,ok
25,prescription,sono/sedacao,Insonia,Mirtazapina,yes,TAG,15-45 (TM/T1),quadro,30.0,yes,ok
25,prescription,ansiedade/resgate,Transtorno de ansiedade generalizada,Bromazepam,yes,Ansiedade aguda,6-18 mg/dia (HC),quadro,18.0,yes,ok
25,prescription,impulsividade/irritabilidade,Esquizofrenia e transtornos psicoticos,Risperidona,yes,Esquizofrenia e transtornos psicoticos,"0,25–1 mg/dia: baixa exposição e usos específicos. (DM/ST-PG/ST-E/GG/Maudsley)",dose_efeito,0.25,yes,ok
25,prescription,substancias/craving,Transtorno por uso de alcool,Acamprosato,yes,Transtorno por uso de alcool,Dose usual depende de peso e funcao renal. Esquema adulto frequente: 666 mg tres vezes/dia. Nao trata intoxicacao nem abstinencia aguda. (DM/ANVISA/APA/NICE/PENDENTE),dose_efeito,666.0,yes,ok
26,prescription,humor/TEPT,Transtorno de ansiedade generalizada,Sertralina,yes,transtorno de estresse,50-200 (TM/T1),quadro,125.0,yes,ok
27,prescription,humor/TEPT,Transtorno de ansiedade generalizada,Desvenlafaxina,yes,transtorno de estresse,50-100 (TM/T1),quadro,100.0,yes,ok
27,prescription,ansiedade/resgate,Transtorno de ansiedade generalizada,Diazepam,yes,TAG,2-10 (TM/T1),quadro,2.0,yes,ok
28,prescription,humor/TEPT,Dor neuropatica ou sindromes dolorosas,Venlafaxina,yes,TAG,75-225 (TM/T1),quadro,75.0,yes,ok
28,prescription,ansiedade/resgate,Transtorno de ansiedade generalizada,Lorazepam,yes,Ansiedade grave,"0,5-1 mg por tomada: ansiolitico. 1-2 mg por tomada: maior sedacao e controle de agitacao. Protocolos de catatonia exigem avaliacao e monitorizacao. (DM/ANVISA/Maudsley)",dose_efeito,1.25,yes,ok
28,prescription,sono/sedacao,Insonia,Mirtazapina,yes,TAG,15-45 (TM/T1),quadro,45.0,yes,ok
29,prescription,humor/TEPT,Dor neuropatica ou sindromes dolorosas,Venlafaxina XR,yes,TAG,75-225 (TM/T1),quadro,150.0,yes,ok
29,prescription,sono/sedacao,Insonia,Mirtazapina,yes,TAG,15-45 (TM/T1),quadro,45.0,yes,ok
29,prescription,ansiedade/resgate,Transtorno bipolar - manutencao,Clonazepam,yes,Transtorno do panico,"0,5-1 mg/dia (DM)",quadro,0.5,yes,ok
29,prescription,substancias/craving,Transtorno por uso de alcool,Acamprosato,yes,Transtorno por uso de alcool,Dose usual depende de peso e funcao renal. Esquema adulto frequente: 666 mg tres vezes/dia. Nao trata intoxicacao nem abstinencia aguda. (DM/ANVISA/APA/NICE/PENDENTE),dose_efeito,666.0,yes,ok
30,prescription,humor/TEPT,Dor neuropatica ou sindromes dolorosas,Duloxetina,yes,TAG,60-120 (TM/T1),quadro,120.0,yes,ok
30,prescription,sono/sedacao,Esquizofrenia e transtornos psicoticos,Quetiapina,yes,Esquizofrenia e transtornos psicoticos,150-750 mg/dia (DM),quadro,150.0,yes,ok
30,prescription,ansiedade/resgate,Transtorno de ansiedade generalizada,Bromazepam,yes,Ansiedade aguda,6-18 mg/dia (HC),quadro,12.0,yes,ok
30,prescription,impulsividade/irritabilidade,Transtorno bipolar - manutencao,Divalproato,yes,Transtorno bipolar - mania/hipomania,750 mg/dia ate resposta; alvo serico 50-125 mcg/mL (DM),quadro,2500.0,yes,ok
30,prescription,substancias/craving,Transtorno por uso de alcool,Naltrexona,yes,vicios,25-50 (TM/T1),quadro,25.0,yes,ok
31,prescription,humor/TEPT,Transtorno depressivo maior,Fluoxetina,yes,transtorno de estresse,20-60 (TM/T1),quadro,20.0,yes,ok
32,prescription,humor/TEPT,Transtorno de ansiedade generalizada,Sertralina,yes,transtorno de estresse,50-200 (TM/T1),quadro,125.0,yes,ok
32,prescription,ansiedade/resgate,Transtorno de ansiedade generalizada,Diazepam,yes,TAG,2-10 (TM/T1),quadro,10.0,yes,ok
33,prescription,humor/TEPT,Transtorno de ansiedade generalizada,Desvenlafaxina,yes,transtorno de estresse,50-100 (TM/T1),quadro,100.0,yes,ok
33,prescription,ansiedade/resgate,Transtorno de ansiedade generalizada,Lorazepam,yes,Ansiedade grave,"0,5-1 mg por tomada: ansiolitico. 1-2 mg por tomada: maior sedacao e controle de agitacao. Protocolos de catatonia exigem avaliacao e monitorizacao. (DM/ANVISA/Maudsley)",dose_efeito,0.5,yes,ok
33,prescription,sono/sedacao,Esquizofrenia e transtornos psicoticos,Quetiapina,yes,Esquizofrenia e transtornos psicoticos,150-750 mg/dia (DM),quadro,450.0,yes,ok
34,prescription,humor/TEPT,Dor neuropatica ou sindromes dolorosas,Venlafaxina,yes,TAG,75-225 (TM/T1),quadro,75.0,yes,ok
34,prescription,sono/sedacao,Esquizofrenia e transtornos psicoticos,Quetiapina,yes,Esquizofrenia e transtornos psicoticos,150-750 mg/dia (DM),quadro,450.0,yes,ok
34,prescription,ansiedade/resgate,Transtorno bipolar - manutencao,Clonazepam,yes,Transtorno do panico,"0,5-1 mg/dia (DM)",quadro,1.0,yes,ok
34,prescription,substancias/craving,Transtorno por uso de alcool,Naltrexona,yes,vicios,25-50 (TM/T1),quadro,25.0,yes,ok
35,prescription,humor/TEPT,Dor neuropatica ou sindromes dolorosas,Venlafaxina XR,yes,TAG,75-225 (TM/T1),quadro,150.0,yes,ok
35,prescription,sono/sedacao,Insonia,Zolpidem,yes,Insonia,"5 mg a noite: menor exposicao. 5-10 mg a noite liberacao imediata: inducao do sono. Formulacao prolongada tem dose propria. Doses maiores aumentam amnesia, comportamentos complexos e prejuizo no dia seguinte. (DM/ANVISA)",dose_efeito,10.0,yes,ok
35,prescription,ansiedade/resgate,Transtorno de ansiedade generalizada,Bromazepam,yes,Ansiedade aguda,6-18 mg/dia (HC),quadro,6.0,yes,ok
35,prescription,impulsividade/irritabilidade,Transtorno bipolar - manutencao,Carbamazepina,yes,Transtorno bipolar - manutencao,200–400 mg/dia: início/titulação. (DM/GG/Maudsley/CANMAT/ISBD),dose_efeito,300.0,yes,ok
35,prescription,substancias/craving,Dor neuropatica ou sindromes dolorosas,Buprenorfina,yes,Transtorno por uso de opioides,Inducao deve considerar tipo e momento do ultimo opioide. Manutencao comum 8-24 mg/dia sublingual; formulacoes injetaveis mensais possuem esquemas proprios. (DM/ANVISA),dose_efeito,24.0,yes,ok
36,prescription,humor/TEPT,Dor neuropatica ou sindromes dolorosas,Duloxetina,yes,TAG,60-120 (TM/T1),quadro,120.0,yes,ok
37,prescription,humor/TEPT,Transtorno depressivo maior,Fluoxetina,yes,transtorno de estresse,20-60 (TM/T1),quadro,20.0,yes,ok
37,prescription,ansiedade/resgate,Transtorno de ansiedade generalizada,Diazepam,yes,TAG,2-10 (TM/T1),quadro,6.0,yes,ok
38,prescription,humor/TEPT,Transtorno de ansiedade generalizada,Sertralina,yes,transtorno de estresse,50-200 (TM/T1),quadro,125.0,yes,ok
38,prescription,ansiedade/resgate,Transtorno de ansiedade generalizada,Lorazepam,yes,Ansiedade grave,"0,5-1 mg por tomada: ansiolitico. 1-2 mg por tomada: maior sedacao e controle de agitacao. Protocolos de catatonia exigem avaliacao e monitorizacao. (DM/ANVISA/Maudsley)",dose_efeito,2.0,yes,ok
38,prescription,sono/sedacao,Insonia,Zolpidem,yes,Insonia,"5 mg a noite: menor exposicao. 5-10 mg a noite liberacao imediata: inducao do sono. Formulacao prolongada tem dose propria. Doses maiores aumentam amnesia, comportamentos complexos e prejuizo no dia seguinte. (DM/ANVISA)",dose_efeito,5.0,yes,ok
39,prescription,humor/TEPT,Transtorno de ansiedade generalizada,Desvenlafaxina,yes,transtorno de estresse,50-100 (TM/T1),quadro,100.0,yes,ok
39,prescription,sono/sedacao,Insonia,Zolpidem,yes,Insonia,"5 mg a noite: menor exposicao. 5-10 mg a noite liberacao imediata: inducao do sono. Formulacao prolongada tem dose propria. Doses maiores aumentam amnesia, comportamentos complexos e prejuizo no dia seguinte. (DM/ANVISA)",dose_efeito,5.0,yes,ok
39,prescription,ansiedade/resgate,Transtorno bipolar - manutencao,Clonazepam,yes,Transtorno do panico,"0,5-1 mg/dia (DM)",quadro,0.75,yes,ok
39,prescription,substancias/craving,Dor neuropatica ou sindromes dolorosas,Buprenorfina,yes,Transtorno por uso de opioides,Inducao deve considerar tipo e momento do ultimo opioide. Manutencao comum 8-24 mg/dia sublingual; formulacoes injetaveis mensais possuem esquemas proprios. (DM/ANVISA),dose_efeito,24.0,yes,ok
40,prescription,humor/TEPT,Dor neuropatica ou sindromes dolorosas,Venlafaxina,yes,TAG,75-225 (TM/T1),quadro,75.0,yes,ok
40,prescription,sono/sedacao,Insonia,Trazodona,yes,Insonia,25-100 mg a noite (DM/ST-E/GG),quadro,62.5,yes,ok
40,prescription,ansiedade/resgate,Transtorno de ansiedade generalizada,Bromazepam,yes,Ansiedade aguda,6-18 mg/dia (HC),quadro,18.0,yes,ok
40,prescription,impulsividade/irritabilidade,Esquizofrenia e transtornos psicoticos,Quetiapina,yes,Esquizofrenia e transtornos psicoticos,150-750 mg/dia (DM),quadro,150.0,yes,ok
40,prescription,substancias/craving,Transtorno por uso de alcool,Acamprosato,yes,Transtorno por uso de alcool,Dose usual depende de peso e funcao renal. Esquema adulto frequente: 666 mg tres vezes/dia. Nao trata intoxicacao nem abstinencia aguda. (DM/ANVISA/APA/NICE/PENDENTE),dose_efeito,666.0,yes,ok
41,prescription,humor/TEPT,Dor neuropatica ou sindromes dolorosas,Venlafaxina XR,yes,TAG,75-225 (TM/T1),quadro,150.0,yes,ok
42,prescription,humor/TEPT,Dor neuropatica ou sindromes dolorosas,Duloxetina,yes,TAG,60-120 (TM/T1),quadro,120.0,yes,ok
42,prescription,ansiedade/resgate,Transtorno de ansiedade generalizada,Diazepam,yes,TAG,2-10 (TM/T1),quadro,2.0,yes,ok
43,prescription,humor/TEPT,Transtorno depressivo maior,Fluoxetina,yes,transtorno de estresse,20-60 (TM/T1),quadro,20.0,yes,ok
43,prescription,ansiedade/resgate,Transtorno de ansiedade generalizada,Lorazepam,yes,Ansiedade grave,"0,5-1 mg por tomada: ansiolitico. 1-2 mg por tomada: maior sedacao e controle de agitacao. Protocolos de catatonia exigem avaliacao e monitorizacao. (DM/ANVISA/Maudsley)",dose_efeito,1.25,yes,ok
43,prescription,sono/sedacao,Insonia,Trazodona,yes,Insonia,25-100 mg a noite (DM/ST-E/GG),quadro,100.0,yes,ok
44,prescription,humor/TEPT,Transtorno de ansiedade generalizada,Sertralina,yes,transtorno de estresse,50-200 (TM/T1),quadro,125.0,yes,ok
44,prescription,sono/sedacao,Insonia,Trazodona,yes,Insonia,25-100 mg a noite (DM/ST-E/GG),quadro,100.0,yes,ok
44,prescription,ansiedade/resgate,Transtorno bipolar - manutencao,Clonazepam,yes,Transtorno do panico,"0,5-1 mg/dia (DM)",quadro,0.5,yes,ok
44,prescription,substancias/craving,Transtorno por uso de alcool,Acamprosato,yes,Transtorno por uso de alcool,Dose usual depende de peso e funcao renal. Esquema adulto frequente: 666 mg tres vezes/dia. Nao trata intoxicacao nem abstinencia aguda. (DM/ANVISA/APA/NICE/PENDENTE),dose_efeito,666.0,yes,ok
45,prescription,humor/TEPT,Transtorno de ansiedade generalizada,Desvenlafaxina,yes,transtorno de estresse,50-100 (TM/T1),quadro,100.0,yes,ok
45,prescription,sono/sedacao,Insonia,Mirtazapina,yes,TAG,15-45 (TM/T1),quadro,15.0,yes,ok
45,prescription,ansiedade/resgate,Transtorno de ansiedade generalizada,Bromazepam,yes,Ansiedade aguda,6-18 mg/dia (HC),quadro,12.0,yes,ok
45,prescription,impulsividade/irritabilidade,Esquizofrenia e transtornos psicoticos,Risperidona,yes,Esquizofrenia e transtornos psicoticos,"0,25–1 mg/dia: baixa exposição e usos específicos. (DM/ST-PG/ST-E/GG/Maudsley)",dose_efeito,1.0,yes,ok
45,prescription,substancias/craving,Transtorno por uso de alcool,Naltrexona,yes,vicios,25-50 (TM/T1),quadro,25.0,yes,ok
46,prescription,humor/TEPT,Dor neuropatica ou sindromes dolorosas,Venlafaxina,yes,TAG,75-225 (TM/T1),quadro,75.0,yes,ok
47,prescription,humor/TEPT,Dor neuropatica ou sindromes dolorosas,Venlafaxina XR,yes,TAG,75-225 (TM/T1),quadro,150.0,yes,ok
47,prescription,ansiedade/resgate,Transtorno de ansiedade generalizada,Diazepam,yes,TAG,2-10 (TM/T1),quadro,10.0,yes,ok
48,prescription,humor/TEPT,Dor neuropatica ou sindromes dolorosas,Duloxetina,yes,TAG,60-120 (TM/T1),quadro,120.0,yes,ok
48,prescription,ansiedade/resgate,Transtorno de ansiedade generalizada,Lorazepam,yes,Ansiedade grave,"0,5-1 mg por tomada: ansiolitico. 1-2 mg por tomada: maior sedacao e controle de agitacao. Protocolos de catatonia exigem avaliacao e monitorizacao. (DM/ANVISA/Maudsley)",dose_efeito,0.5,yes,ok
48,prescription,sono/sedacao,Insonia,Mirtazapina,yes,TAG,15-45 (TM/T1),quadro,30.0,yes,ok
49,prescription,humor/TEPT,Transtorno depressivo maior,Fluoxetina,yes,transtorno de estresse,20-60 (TM/T1),quadro,20.0,yes,ok
49,prescription,sono/sedacao,Insonia,Mirtazapina,yes,TAG,15-45 (TM/T1),quadro,30.0,yes,ok
49,prescription,ansiedade/resgate,Transtorno bipolar - manutencao,Clonazepam,yes,Transtorno do panico,"0,5-1 mg/dia (DM)",quadro,1.0,yes,ok
49,prescription,substancias/craving,Transtorno por uso de alcool,Naltrexona,yes,vicios,25-50 (TM/T1),quadro,25.0,yes,ok
50,prescription,humor/TEPT,Transtorno de ansiedade generalizada,Sertralina,yes,transtorno de estresse,50-200 (TM/T1),quadro,125.0,yes,ok
50,prescription,sono/sedacao,Esquizofrenia e transtornos psicoticos,Quetiapina,yes,Esquizofrenia e transtornos psicoticos,150-750 mg/dia (DM),quadro,750.0,yes,ok
50,prescription,ansiedade/resgate,Transtorno de ansiedade generalizada,Bromazepam,yes,Ansiedade aguda,6-18 mg/dia (HC),quadro,6.0,yes,ok
50,prescription,impulsividade/irritabilidade,Transtorno bipolar - manutencao,Divalproato,yes,Transtorno bipolar - mania/hipomania,750 mg/dia ate resposta; alvo serico 50-125 mcg/mL (DM),quadro,1625.0,yes,ok
50,prescription,substancias/craving,Dor neuropatica ou sindromes dolorosas,Buprenorfina,yes,Transtorno por uso de opioides,Inducao deve considerar tipo e momento do ultimo opioide. Manutencao comum 8-24 mg/dia sublingual; formulacoes injetaveis mensais possuem esquemas proprios. (DM/ANVISA),dose_efeito,24.0,yes,ok
51,prescription,humor/TEPT,Transtorno de ansiedade generalizada,Desvenlafaxina,yes,transtorno de estresse,50-100 (TM/T1),quadro,100.0,yes,ok
