axis,medication,status,candidate,condition,range,range_type,dose_reading,source
libido/funcao sexual,Agomelatina,ok,Agomelatina,TAG,25-50 (TM/T1),condition_range,available,TM/Aba 1/TAG
libido/funcao sexual,Vortioxetina,ok,Vortioxetina,TAG,10-20 (TM/T1),condition_range,available,TM/Aba 1/TAG
peso/metabolico,Bupropiona,ok,Bupropiona,TAG,120-300 (TM/T1),condition_range,available,TM/Aba 1/TAG
peso/metabolico,Agomelatina,ok,Agomelatina,TAG,25-50 (TM/T1),condition_range,available,TM/Aba 1/TAG
peso/metabolico,Fluoxetina,ok,Fluoxetina,TAG,20-60 (TM/T1),condition_range,available,TM/Aba 1/TAG
estabilizacao do humor,Litio,ok,Litio,Transtorno bipolar - mania/hipomania,dose_effect 0.6-1,dose_effect_range,available,"FDA_LITHIUM; CANMAT_ISBD; MAUDSLEY;
STAHL_ESSENTIAL; GOODMAN_GILMAN; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=049902a9-3af1-4863-994e-15f36e7a9793"
estabilizacao do humor,Lamotrigina,ok,Lamotrigina,Transtorno bipolar - mania/hipomania,dose_effect 25-25,dose_effect_range,available,"FDA_LAMICTAL; CANMAT_ISBD; MAUDSLEY;
STAHL_ESSENTIAL; GOODMAN_GILMAN; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=55f41c7e-03a6-b84c-e063-6294a90a7d82"
estabilizacao do humor,Divalproato,ok,Divalproato,Transtorno bipolar - mania/hipomania,750 mg/dia ate resposta; alvo serico 50-125 mcg/mL (DM),condition_range,available,DM
estabilizacao do humor,Carbamazepina,ok,Carbamazepina,Transtorno bipolar - mania/hipomania,dose_effect 200-400,dose_effect_range,available,"FDA/Tegretol Prescribing Information; CANMAT/ISBD Bipolar Guidelines; Maudsley; Goodman & Gilman, 14ª ed.; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=8d409411-aa9f-4f3a-a52c-fbcb0c3ec053"
psicose/organizacao do pensamento,Quetiapina,ok,Quetiapina,Agitacao ou psicose aguda,150-750 mg/dia quando contexto psicotico/esquizofrenia; agitacao isolada nao cadastrada (DM),condition_range,available,DM
psicose/organizacao do pensamento,Risperidona,ok,Risperidona,Agitacao ou psicose aguda,dose_effect 0.25-1,dose_effect_range,available,"FDA_RISPERDAL; STAHL_ESSENTIAL; STAHL_PG;
GOODMAN_GILMAN; MAUDSLEY; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=5643c32b-310e-4888-e063-6394a90ab62f"
psicose/organizacao do pensamento,Olanzapina,ok,Olanzapina,Agitacao ou psicose aguda,dose_effect 2.5-5,dose_effect_range,available,"FDA_ZYPREXA; STAHL_ESSENTIAL; STAHL_PG;
GOODMAN_GILMAN; MAUDSLEY; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=0ecbf540-572e-4ca4-b694-18ca1cd1c194"
psicose/organizacao do pensamento,Aripiprazol,ok,Aripiprazol,Agitacao ou psicose aguda,dose_effect 2-5,dose_effect_range,available,"FDA_ABILIFY; STAHL_ESSENTIAL; STAHL_PG;
GOODMAN_GILMAN; MAUDSLEY; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=042b725c-1c17-4cfb-80b2-c841226d795e"
psicose/organizacao do pensamento,Haloperidol,ok,Haloperidol,Agitacao ou psicose aguda,dose_effect 0.5-2,dose_effect_range,available,"FDA/Haldol Prescribing Information; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.; Maudsley.; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=e2eed126-cb82-42b1-9b48-9cbeb6873b50"
