medication_name,drug_class,condition_or_context,condition_key,audit_status,condition_range,dose_effect_min,dose_effect_max,range_source,dose_effect_source,missing_fields
Amitriptilina,Triciclico,Anorexia nervosa,bulimia_anorexia,USE_DOSE_EFFECT_PENDING_CONDITION_RANGE,nao cadastrado,10,25,TM/Aba 1 consultada; par medicamento-quadro nao cadastrado,"DailyMed, Amitriptyline Hydrochloride Tablets; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.; Maudsley Prescribing Guidelines.; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=35aa7ab3-321a-97f7-e063-6294a90a91e2",dominant_effect | mechanism_or_target | condition_range | condition_range_min | condition_range_max | range_source
Amitriptilina,Triciclico,Insonia,,USE_DOSE_EFFECT_PENDING_CONDITION_RANGE,nao cadastrado,50,100,TM/Aba 1 consultada; par medicamento-quadro nao cadastrado,"DailyMed, Amitriptyline Hydrochloride Tablets; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.; Maudsley Prescribing Guidelines.; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=35aa7ab3-321a-97f7-e063-6294a90a91e2",condition_key | dominant_effect | mechanism_or_target | condition_range | condition_range_min | condition_range_max | range_source
Amitriptilina,Triciclico,Dor neuropatica ou sindromes dolorosas,dor,USE_DOSE_EFFECT_PENDING_CONDITION_RANGE,nao cadastrado,50,100,TM/Aba 1 consultada; par medicamento-quadro nao cadastrado,"DailyMed, Amitriptyline Hydrochloride Tablets; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.; Maudsley Prescribing Guidelines.; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=35aa7ab3-321a-97f7-e063-6294a90a91e2",dominant_effect | mechanism_or_target | condition_range | condition_range_min | condition_range_max | range_source
Amitriptilina,Triciclico,Fibromialgia,,USE_DOSE_EFFECT_PENDING_CONDITION_RANGE,nao cadastrado,50,100,TM/Aba 1 consultada; par medicamento-quadro nao cadastrado,"DailyMed, Amitriptyline Hydrochloride Tablets; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.; Maudsley Prescribing Guidelines.; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=35aa7ab3-321a-97f7-e063-6294a90a91e2",condition_key | dominant_effect | mechanism_or_target | condition_range | condition_range_min | condition_range_max | range_source
Amitriptilina,Triciclico,Enxaqueca - prevencao,,USE_DOSE_EFFECT_PENDING_CONDITION_RANGE,nao cadastrado,50,100,TM/Aba 1 consultada; par medicamento-quadro nao cadastrado,"DailyMed, Amitriptyline Hydrochloride Tablets; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.; Maudsley Prescribing Guidelines.; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=35aa7ab3-321a-97f7-e063-6294a90a91e2",condition_key | dominant_effect | mechanism_or_target | condition_range | condition_range_min | condition_range_max | range_source
Amitriptilina,Triciclico,Anorexia nervosa,bulimia_anorexia,USE_DOSE_EFFECT_PENDING_CONDITION_RANGE,nao cadastrado,50,100,TM/Aba 1 consultada; par medicamento-quadro nao cadastrado,"DailyMed, Amitriptyline Hydrochloride Tablets; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.; Maudsley Prescribing Guidelines.; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=35aa7ab3-321a-97f7-e063-6294a90a91e2",dominant_effect | mechanism_or_target | condition_range | condition_range_min | condition_range_max | range_source
Amitriptilina,Triciclico,Insonia,,USE_DOSE_EFFECT_PENDING_CONDITION_RANGE,nao cadastrado,100,150,TM/Aba 1 consultada; par medicamento-quadro nao cadastrado,"DailyMed, Amitriptyline Hydrochloride Tablets; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.; Maudsley Prescribing Guidelines.; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=35aa7ab3-321a-97f7-e063-6294a90a91e2",condition_key | dominant_effect | mechanism_or_target | condition_range | condition_range_min | condition_range_max | range_source
Amitriptilina,Triciclico,Dor neuropatica ou sindromes dolorosas,dor,USE_DOSE_EFFECT_PENDING_CONDITION_RANGE,nao cadastrado,100,150,TM/Aba 1 consultada; par medicamento-quadro nao cadastrado,"DailyMed, Amitriptyline Hydrochloride Tablets; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.; Maudsley Prescribing Guidelines.; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=35aa7ab3-321a-97f7-e063-6294a90a91e2",dominant_effect | mechanism_or_target | condition_range | condition_range_min | condition_range_max | range_source
Amitriptilina,Triciclico,Fibromialgia,,USE_DOSE_EFFECT_PENDING_CONDITION_RANGE,nao cadastrado,100,150,TM/Aba 1 consultada; par medicamento-quadro nao cadastrado,"DailyMed, Amitriptyline Hydrochloride Tablets; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.; Maudsley Prescribing Guidelines.; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=35aa7ab3-321a-97f7-e063-6294a90a91e2",condition_key | dominant_effect | mechanism_or_target | condition_range | condition_range_min | condition_range_max | range_source
Amitriptilina,Triciclico,Enxaqueca - prevencao,,USE_DOSE_EFFECT_PENDING_CONDITION_RANGE,nao cadastrado,100,150,TM/Aba 1 consultada; par medicamento-quadro nao cadastrado,"DailyMed, Amitriptyline Hydrochloride Tablets; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.; Maudsley Prescribing Guidelines.; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=35aa7ab3-321a-97f7-e063-6294a90a91e2",condition_key | dominant_effect | mechanism_or_target | condition_range | condition_range_min | condition_range_max | range_source
Amitriptilina,Triciclico,Anorexia nervosa,bulimia_anorexia,USE_DOSE_EFFECT_PENDING_CONDITION_RANGE,nao cadastrado,100,150,TM/Aba 1 consultada; par medicamento-quadro nao cadastrado,"DailyMed, Amitriptyline Hydrochloride Tablets; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.; Maudsley Prescribing Guidelines.; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=35aa7ab3-321a-97f7-e063-6294a90a91e2",dominant_effect | mechanism_or_target | condition_range | condition_range_min | condition_range_max | range_source
Aripiprazol,Antipsicotico atipico,Depressao resistente,depressao_ansiosa,USE_DOSE_EFFECT_PENDING_CONDITION_RANGE,nao cadastrado,2,5,TM/Aba 1 consultada; par medicamento-quadro nao cadastrado,"FDA_ABILIFY; STAHL_ESSENTIAL; STAHL_PG;
GOODMAN_GILMAN; MAUDSLEY; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=042b725c-1c17-4cfb-80b2-c841226d795e",condition_range | condition_range_min | condition_range_max | range_source
Aripiprazol,Antipsicotico atipico,TOC resistente,TOC,USE_DOSE_EFFECT_PENDING_CONDITION_RANGE,nao cadastrado,2,5,TM/Aba 1 consultada; par medicamento-quadro nao cadastrado,"FDA_ABILIFY; STAHL_ESSENTIAL; STAHL_PG;
GOODMAN_GILMAN; MAUDSLEY; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=042b725c-1c17-4cfb-80b2-c841226d795e",condition_range | condition_range_min | condition_range_max | range_source
Aripiprazol,Antipsicotico atipico,Transtorno bipolar - mania/hipomania,,USE_DOSE_EFFECT_PENDING_CONDITION_RANGE,nao cadastrado,2,5,TM/Aba 1 consultada; par medicamento-quadro nao cadastrado,"FDA_ABILIFY; STAHL_ESSENTIAL; STAHL_PG;
GOODMAN_GILMAN; MAUDSLEY; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=042b725c-1c17-4cfb-80b2-c841226d795e",condition_key | condition_range | condition_range_min | condition_range_max | range_source
Aripiprazol,Antipsicotico atipico,Transtorno bipolar - manutencao,,USE_DOSE_EFFECT_PENDING_CONDITION_RANGE,nao cadastrado,2,5,TM/Aba 1 consultada; par medicamento-quadro nao cadastrado,"FDA_ABILIFY; STAHL_ESSENTIAL; STAHL_PG;
GOODMAN_GILMAN; MAUDSLEY; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=042b725c-1c17-4cfb-80b2-c841226d795e",condition_key | condition_range | condition_range_min | condition_range_max | range_source
Aripiprazol,Antipsicotico atipico,Esquizofrenia e transtornos psicoticos,,USE_DOSE_EFFECT_PENDING_CONDITION_RANGE,nao cadastrado,2,5,TM/Aba 1 consultada; par medicamento-quadro nao cadastrado,"FDA_ABILIFY; STAHL_ESSENTIAL; STAHL_PG;
GOODMAN_GILMAN; MAUDSLEY; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=042b725c-1c17-4cfb-80b2-c841226d795e",condition_key | condition_range | condition_range_min | condition_range_max | range_source
Aripiprazol,Antipsicotico atipico,Agitacao ou psicose aguda,depressao_com_agitacao_agressiva,USE_DOSE_EFFECT_PENDING_CONDITION_RANGE,nao cadastrado,2,5,TM/Aba 1 consultada; par medicamento-quadro nao cadastrado,"FDA_ABILIFY; STAHL_ESSENTIAL; STAHL_PG;
GOODMAN_GILMAN; MAUDSLEY; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=042b725c-1c17-4cfb-80b2-c841226d795e",condition_range | condition_range_min | condition_range_max | range_source
Aripiprazol,Antipsicotico atipico,Anorexia nervosa,bulimia_anorexia,USE_DOSE_EFFECT_PENDING_CONDITION_RANGE,nao cadastrado,2,5,TM/Aba 1 consultada; par medicamento-quadro nao cadastrado,"FDA_ABILIFY; STAHL_ESSENTIAL; STAHL_PG;
GOODMAN_GILMAN; MAUDSLEY; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=042b725c-1c17-4cfb-80b2-c841226d795e",condition_range | condition_range_min | condition_range_max | range_source
Aripiprazol,Antipsicotico atipico,Depressao resistente,depressao_ansiosa,USE_DOSE_EFFECT_PENDING_CONDITION_RANGE,nao cadastrado,10,15,TM/Aba 1 consultada; par medicamento-quadro nao cadastrado,"FDA_ABILIFY; STAHL_ESSENTIAL; STAHL_PG;
GOODMAN_GILMAN; MAUDSLEY; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=042b725c-1c17-4cfb-80b2-c841226d795e",condition_range | condition_range_min | condition_range_max | range_source
Aripiprazol,Antipsicotico atipico,TOC resistente,TOC,USE_DOSE_EFFECT_PENDING_CONDITION_RANGE,nao cadastrado,10,15,TM/Aba 1 consultada; par medicamento-quadro nao cadastrado,"FDA_ABILIFY; STAHL_ESSENTIAL; STAHL_PG;
GOODMAN_GILMAN; MAUDSLEY; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=042b725c-1c17-4cfb-80b2-c841226d795e",condition_range | condition_range_min | condition_range_max | range_source
Aripiprazol,Antipsicotico atipico,Transtorno bipolar - mania/hipomania,,USE_DOSE_EFFECT_PENDING_CONDITION_RANGE,nao cadastrado,10,15,TM/Aba 1 consultada; par medicamento-quadro nao cadastrado,"FDA_ABILIFY; STAHL_ESSENTIAL; STAHL_PG;
GOODMAN_GILMAN; MAUDSLEY; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=042b725c-1c17-4cfb-80b2-c841226d795e",condition_key | condition_range | condition_range_min | condition_range_max | range_source
Aripiprazol,Antipsicotico atipico,Transtorno bipolar - manutencao,,USE_DOSE_EFFECT_PENDING_CONDITION_RANGE,nao cadastrado,10,15,TM/Aba 1 consultada; par medicamento-quadro nao cadastrado,"FDA_ABILIFY; STAHL_ESSENTIAL; STAHL_PG;
GOODMAN_GILMAN; MAUDSLEY; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=042b725c-1c17-4cfb-80b2-c841226d795e",condition_key | condition_range | condition_range_min | condition_range_max | range_source
Aripiprazol,Antipsicotico atipico,Esquizofrenia e transtornos psicoticos,,USE_DOSE_EFFECT_PENDING_CONDITION_RANGE,nao cadastrado,10,15,TM/Aba 1 consultada; par medicamento-quadro nao cadastrado,"FDA_ABILIFY; STAHL_ESSENTIAL; STAHL_PG;
GOODMAN_GILMAN; MAUDSLEY; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=042b725c-1c17-4cfb-80b2-c841226d795e",condition_key | condition_range | condition_range_min | condition_range_max | range_source
Aripiprazol,Antipsicotico atipico,Agitacao ou psicose aguda,depressao_com_agitacao_agressiva,USE_DOSE_EFFECT_PENDING_CONDITION_RANGE,nao cadastrado,10,15,TM/Aba 1 consultada; par medicamento-quadro nao cadastrado,"FDA_ABILIFY; STAHL_ESSENTIAL; STAHL_PG;
GOODMAN_GILMAN; MAUDSLEY; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=042b725c-1c17-4cfb-80b2-c841226d795e",condition_range | condition_range_min | condition_range_max | range_source
Aripiprazol,Antipsicotico atipico,Anorexia nervosa,bulimia_anorexia,USE_DOSE_EFFECT_PENDING_CONDITION_RANGE,nao cadastrado,10,15,TM/Aba 1 consultada; par medicamento-quadro nao cadastrado,"FDA_ABILIFY; STAHL_ESSENTIAL; STAHL_PG;
GOODMAN_GILMAN; MAUDSLEY; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=042b725c-1c17-4cfb-80b2-c841226d795e",condition_range | condition_range_min | condition_range_max | range_source
Aripiprazol,Antipsicotico atipico,Depressao resistente,depressao_ansiosa,USE_DOSE_EFFECT_PENDING_CONDITION_RANGE,nao cadastrado,30,30,TM/Aba 1 consultada; par medicamento-quadro nao cadastrado,"FDA_ABILIFY; STAHL_ESSENTIAL; STAHL_PG;
GOODMAN_GILMAN; MAUDSLEY; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=042b725c-1c17-4cfb-80b2-c841226d795e",condition_range | condition_range_min | condition_range_max | range_source
Aripiprazol,Antipsicotico atipico,TOC resistente,TOC,USE_DOSE_EFFECT_PENDING_CONDITION_RANGE,nao cadastrado,30,30,TM/Aba 1 consultada; par medicamento-quadro nao cadastrado,"FDA_ABILIFY; STAHL_ESSENTIAL; STAHL_PG;
GOODMAN_GILMAN; MAUDSLEY; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=042b725c-1c17-4cfb-80b2-c841226d795e",condition_range | condition_range_min | condition_range_max | range_source
Aripiprazol,Antipsicotico atipico,Transtorno bipolar - mania/hipomania,,USE_DOSE_EFFECT_PENDING_CONDITION_RANGE,nao cadastrado,30,30,TM/Aba 1 consultada; par medicamento-quadro nao cadastrado,"FDA_ABILIFY; STAHL_ESSENTIAL; STAHL_PG;
GOODMAN_GILMAN; MAUDSLEY; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=042b725c-1c17-4cfb-80b2-c841226d795e",condition_key | condition_range | condition_range_min | condition_range_max | range_source
Aripiprazol,Antipsicotico atipico,Transtorno bipolar - manutencao,,USE_DOSE_EFFECT_PENDING_CONDITION_RANGE,nao cadastrado,30,30,TM/Aba 1 consultada; par medicamento-quadro nao cadastrado,"FDA_ABILIFY; STAHL_ESSENTIAL; STAHL_PG;
GOODMAN_GILMAN; MAUDSLEY; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=042b725c-1c17-4cfb-80b2-c841226d795e",condition_key | condition_range | condition_range_min | condition_range_max | range_source
Aripiprazol,Antipsicotico atipico,Esquizofrenia e transtornos psicoticos,,USE_DOSE_EFFECT_PENDING_CONDITION_RANGE,nao cadastrado,30,30,TM/Aba 1 consultada; par medicamento-quadro nao cadastrado,"FDA_ABILIFY; STAHL_ESSENTIAL; STAHL_PG;
GOODMAN_GILMAN; MAUDSLEY; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=042b725c-1c17-4cfb-80b2-c841226d795e",condition_key | condition_range | condition_range_min | condition_range_max | range_source
Aripiprazol,Antipsicotico atipico,Agitacao ou psicose aguda,depressao_com_agitacao_agressiva,USE_DOSE_EFFECT_PENDING_CONDITION_RANGE,nao cadastrado,30,30,TM/Aba 1 consultada; par medicamento-quadro nao cadastrado,"FDA_ABILIFY; STAHL_ESSENTIAL; STAHL_PG;
GOODMAN_GILMAN; MAUDSLEY; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=042b725c-1c17-4cfb-80b2-c841226d795e",condition_range | condition_range_min | condition_range_max | range_source
Aripiprazol,Antipsicotico atipico,Anorexia nervosa,bulimia_anorexia,USE_DOSE_EFFECT_PENDING_CONDITION_RANGE,nao cadastrado,30,30,TM/Aba 1 consultada; par medicamento-quadro nao cadastrado,"FDA_ABILIFY; STAHL_ESSENTIAL; STAHL_PG;
GOODMAN_GILMAN; MAUDSLEY; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=042b725c-1c17-4cfb-80b2-c841226d795e",condition_range | condition_range_min | condition_range_max | range_source
Carbamazepina,Estabilizador de humor,Transtorno bipolar - mania/hipomania,,USE_DOSE_EFFECT_PENDING_CONDITION_RANGE,nao cadastrado,200,400,TM/Aba 1 consultada; par medicamento-quadro nao cadastrado,"FDA/Tegretol Prescribing Information; CANMAT/ISBD Bipolar Guidelines; Maudsley; Goodman & Gilman, 14ª ed.; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=8d409411-aa9f-4f3a-a52c-fbcb0c3ec053",condition_key | condition_range | condition_range_min | condition_range_max | range_source
Carbamazepina,Estabilizador de humor,Transtorno bipolar - manutencao,,USE_DOSE_EFFECT_PENDING_CONDITION_RANGE,nao cadastrado,200,400,TM/Aba 1 consultada; par medicamento-quadro nao cadastrado,"FDA/Tegretol Prescribing Information; CANMAT/ISBD Bipolar Guidelines; Maudsley; Goodman & Gilman, 14ª ed.; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=8d409411-aa9f-4f3a-a52c-fbcb0c3ec053",condition_key | condition_range | condition_range_min | condition_range_max | range_source
Carbamazepina,Estabilizador de humor,Dor neuropatica ou sindromes dolorosas,dor,USE_DOSE_EFFECT_PENDING_CONDITION_RANGE,nao cadastrado,200,400,TM/Aba 1 consultada; par medicamento-quadro nao cadastrado,"FDA/Tegretol Prescribing Information; CANMAT/ISBD Bipolar Guidelines; Maudsley; Goodman & Gilman, 14ª ed.; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=8d409411-aa9f-4f3a-a52c-fbcb0c3ec053",condition_range | condition_range_min | condition_range_max | range_source
Carbamazepina,Estabilizador de humor,Epilepsia,,USE_DOSE_EFFECT_PENDING_CONDITION_RANGE,nao cadastrado,200,400,TM/Aba 1 consultada; par medicamento-quadro nao cadastrado,"FDA/Tegretol Prescribing Information; CANMAT/ISBD Bipolar Guidelines; Maudsley; Goodman & Gilman, 14ª ed.; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=8d409411-aa9f-4f3a-a52c-fbcb0c3ec053",condition_key | condition_range | condition_range_min | condition_range_max | range_source
Carbamazepina,Estabilizador de humor,Transtorno por uso de alcool,vicios,USE_DOSE_EFFECT_PENDING_CONDITION_RANGE,nao cadastrado,200,400,TM/Aba 1 consultada; par medicamento-quadro nao cadastrado,"FDA/Tegretol Prescribing Information; CANMAT/ISBD Bipolar Guidelines; Maudsley; Goodman & Gilman, 14ª ed.; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=8d409411-aa9f-4f3a-a52c-fbcb0c3ec053",condition_range | condition_range_min | condition_range_max | range_source
Carbamazepina,Estabilizador de humor,Anorexia nervosa,bulimia_anorexia,USE_DOSE_EFFECT_PENDING_CONDITION_RANGE,nao cadastrado,200,400,TM/Aba 1 consultada; par medicamento-quadro nao cadastrado,"FDA/Tegretol Prescribing Information; CANMAT/ISBD Bipolar Guidelines; Maudsley; Goodman & Gilman, 14ª ed.; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=8d409411-aa9f-4f3a-a52c-fbcb0c3ec053",condition_range | condition_range_min | condition_range_max | range_source
Carbamazepina,Estabilizador de humor,Transtorno bipolar - mania/hipomania,,USE_DOSE_EFFECT_PENDING_CONDITION_RANGE,nao cadastrado,1.2,600,TM/Aba 1 consultada; par medicamento-quadro nao cadastrado,"FDA/Tegretol Prescribing Information; CANMAT/ISBD Bipolar Guidelines; Maudsley; Goodman & Gilman, 14ª ed.; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=8d409411-aa9f-4f3a-a52c-fbcb0c3ec053",condition_key | condition_range | condition_range_min | condition_range_max | range_source
Carbamazepina,Estabilizador de humor,Transtorno bipolar - manutencao,,USE_DOSE_EFFECT_PENDING_CONDITION_RANGE,nao cadastrado,1.2,600,TM/Aba 1 consultada; par medicamento-quadro nao cadastrado,"FDA/Tegretol Prescribing Information; CANMAT/ISBD Bipolar Guidelines; Maudsley; Goodman & Gilman, 14ª ed.; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=8d409411-aa9f-4f3a-a52c-fbcb0c3ec053",condition_key | condition_range | condition_range_min | condition_range_max | range_source
Carbamazepina,Estabilizador de humor,Dor neuropatica ou sindromes dolorosas,dor,USE_DOSE_EFFECT_PENDING_CONDITION_RANGE,nao cadastrado,1.2,600,TM/Aba 1 consultada; par medicamento-quadro nao cadastrado,"FDA/Tegretol Prescribing Information; CANMAT/ISBD Bipolar Guidelines; Maudsley; Goodman & Gilman, 14ª ed.; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=8d409411-aa9f-4f3a-a52c-fbcb0c3ec053",condition_range | condition_range_min | condition_range_max | range_source
